modelo,accuracy_media,accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,n_features,n_splits_cv,origem_bandas
LDA,0.625,0.16433554953054488,0.6123677248677248,0.16762198764595,0.55,0.19720265943665385,154,4,confirmadas
XGBoost,0.5902777777777778,0.15445210479270624,0.5695516289266289,0.14966163784401318,0.5083333333333333,0.18534252575124754,154,4,confirmadas
Random Forest,0.5069444444444444,0.07305432332434958,0.48679584304584306,0.08236198729032367,0.4083333333333333,0.08766518798921938,154,4,confirmadas
SVM (RBF),0.4930555555555555,0.041666666666666685,0.47008402137078603,0.06445481629435978,0.3916666666666667,0.049999999999999954,154,4,confirmadas
k-NN (k=5),0.4583333333333333,0.09487917375888519,0.4347058442646678,0.106344500835968,0.35000000000000003,0.11385500851066227,154,4,confirmadas
