dia,comprimento_onda_nm,ratio_media,ratio_std,n_pares
dia2,350,0.953609137909534,0.025649094029569164,12
dia2,351,0.9534921199962413,0.027539501725484736,12
dia2,352,0.9521265986833587,0.030149940435100286,12
dia2,353,0.9503102378081573,0.033350243442849314,12
dia2,354,0.9480096069786703,0.037159965077312236,12
dia2,355,0.944763548695204,0.03798843796905478,12
dia2,356,0.9413728560309075,0.03898309893339217,12
dia2,357,0.9391579566384856,0.038110508709952085,12
dia2,358,0.9378068599253243,0.03658255925993516,12
dia2,359,0.9365536247841675,0.03554861814282343,12
dia2,360,0.936052088957192,0.03550884978274048,12
dia2,361,0.9364271396365113,0.03573373568270583,12
dia2,362,0.937018359142675,0.03414870677247619,12
dia2,363,0.938312314618758,0.034526951503819125,12
dia2,364,0.9383474274992484,0.03523375614319126,12
dia2,365,0.9367809149948703,0.035257522473037047,12
dia2,366,0.9356880079484863,0.03665565389123953,12
dia2,367,0.9350310828930072,0.037489054838032686,12
dia2,368,0.9340801145998183,0.038518752946012515,12
dia2,369,0.9323235201701882,0.04029500300584578,12
dia2,370,0.9312808877518353,0.041141745700990204,12
dia2,371,0.9312047531228282,0.040926978124247,12
dia2,372,0.9318303090859729,0.04015227700964344,12
dia2,373,0.932152813168051,0.039533352021262465,12
dia2,374,0.9312800946020167,0.0390848578456529,12
dia2,375,0.930872992918764,0.03920561083642437,12
dia2,376,0.9313010737149495,0.03961050208713678,12
dia2,377,0.931367915422391,0.039718185012641904,12
dia2,378,0.9315301576174039,0.03979206022559308,12
dia2,379,0.9320744618119825,0.03995685128839382,12
dia2,380,0.9328378588107613,0.04014766528653776,12
dia2,381,0.9333567239908483,0.04006813344018857,12
dia2,382,0.9340211024494919,0.03914024414590031,12
dia2,383,0.9347147443296967,0.03796931976868553,12
dia2,384,0.9350600281828991,0.037520129037316635,12
dia2,385,0.9355729436201746,0.037893701995086376,12
dia2,386,0.9361625220659362,0.03818681723545336,12
dia2,387,0.9368993492334172,0.03818864566654074,12
dia2,388,0.9380217899544555,0.03793590354396315,12
dia2,389,0.9391668515084723,0.03736890789337972,12
dia2,390,0.9398370262706961,0.03671390904482822,12
dia2,391,0.94040285726357,0.03587209906067903,12
dia2,392,0.9417086394369987,0.034391562148194936,12
dia2,393,0.9432725823479506,0.03316883333471384,12
dia2,394,0.9443695734460206,0.03253956137793555,12
dia2,395,0.9448841147248235,0.032352507573788075,12
dia2,396,0.9457378920720917,0.03181515558479688,12
dia2,397,0.946880282569178,0.03135874738292659,12
dia2,398,0.9477536896681756,0.030884618539463945,12
dia2,399,0.9478561407102685,0.02995461921519119,12
dia2,400,0.9475851587096059,0.028875258923963892,12
dia2,401,0.9477816741939177,0.028097347295492812,12
dia2,402,0.9486138136765478,0.027964187140104457,12
dia2,403,0.949270296634288,0.028685359468242185,12
dia2,404,0.9498103779420016,0.02914467784923139,12
dia2,405,0.950472605142335,0.029164542335858554,12
dia2,406,0.9514577987963752,0.028954963595251685,12
dia2,407,0.9522458806743171,0.02869561715069191,12
dia2,408,0.9523061647357783,0.02850689198563081,12
dia2,409,0.9519871595853813,0.02829529170587839,12
dia2,410,0.9519800794110895,0.028097432206199067,12
dia2,411,0.9523299599943579,0.02827255508297504,12
dia2,412,0.9527433107305279,0.028696246433165824,12
dia2,413,0.9529868189546775,0.02906320053979836,12
dia2,414,0.953183967666313,0.029036273943657757,12
dia2,415,0.9535176145327173,0.028974093222222552,12
dia2,416,0.9539268732985312,0.028866871503873452,12
dia2,417,0.9543890504102919,0.028775643356545304,12
dia2,418,0.9547869696348735,0.02905058703953119,12
dia2,419,0.9552433825465916,0.029292500626569195,12
dia2,420,0.9557445705247255,0.029503870983887792,12
dia2,421,0.9561373590045076,0.029818701397479257,12
dia2,422,0.9563228113935894,0.02995292111169838,12
dia2,423,0.9561200274863052,0.030038283547783724,12
dia2,424,0.955670961407276,0.030231974615009906,12
dia2,425,0.9553570549495763,0.03050274112295089,12
dia2,426,0.9550017379439564,0.030504231994962227,12
dia2,427,0.954747010995788,0.03043719381067398,12
dia2,428,0.9547101967982735,0.030443773451174876,12
dia2,429,0.9547008107643774,0.03039864980562957,12
dia2,430,0.9547657246893317,0.03043322498868024,12
dia2,431,0.9549441084256883,0.030491795625056804,12
dia2,432,0.9552691853035958,0.03044327614723511,12
dia2,433,0.9556146831729952,0.030642095412867883,12
dia2,434,0.9559678443206102,0.030877853265525498,12
dia2,435,0.9562203519619322,0.030940513000734946,12
dia2,436,0.9562488294667936,0.030807293672610585,12
dia2,437,0.9562599183738975,0.030760538579543032,12
dia2,438,0.9562854658324179,0.030834540867370766,12
dia2,439,0.9563923352584527,0.030928463139937048,12
dia2,440,0.9567269011409983,0.030979748146678907,12
dia2,441,0.95715330606938,0.03105024744294238,12
dia2,442,0.9575661491685445,0.031251989424026905,12
dia2,443,0.957979060194086,0.03160932575698172,12
dia2,444,0.9584581858559265,0.03185766081747625,12
dia2,445,0.9589602382241215,0.03208139727462417,12
dia2,446,0.9593868999425127,0.032367598088149034,12
dia2,447,0.9597641576664939,0.0326627633250951,12
dia2,448,0.9602088758124229,0.03289420589805738,12
dia2,449,0.9607654416108468,0.03310489009266166,12
dia2,450,0.9613877317052643,0.03332404557920273,12
dia2,451,0.9618998061316103,0.03351271318433947,12
dia2,452,0.9623662276137988,0.03373654046451213,12
dia2,453,0.962847512035586,0.03395756935223,12
dia2,454,0.9633919406118353,0.034087045403034366,12
dia2,455,0.9639566322401235,0.03416408561919543,12
dia2,456,0.9644159604135139,0.03426614343285439,12
dia2,457,0.9647791610488047,0.034386146911623894,12
dia2,458,0.9652386768988298,0.03446838339797327,12
dia2,459,0.9656821573057028,0.03459573393715792,12
dia2,460,0.9659922313467354,0.03470936791256832,12
dia2,461,0.9661522162480667,0.034752106474523585,12
dia2,462,0.9663054444461071,0.034834726846205456,12
dia2,463,0.9664663186671039,0.03497241199016156,12
dia2,464,0.966597577948082,0.035110773428255325,12
dia2,465,0.9666842731256701,0.03520662345734529,12
dia2,466,0.9667375529024042,0.03536263637026785,12
dia2,467,0.9668691112154627,0.03551254367690131,12
dia2,468,0.9671194118722152,0.03561427193260371,12
dia2,469,0.9674199931960309,0.03571978833141252,12
dia2,470,0.9676522074620982,0.03581022884198744,12
dia2,471,0.9678536931184146,0.0358899931536885,12
dia2,472,0.9681491715352516,0.03598182807474,12
dia2,473,0.9686435659152918,0.03608255077025063,12
dia2,474,0.969141227736357,0.03623578920729586,12
dia2,475,0.9695877916171756,0.0364182118529765,12
dia2,476,0.9700511517657321,0.03658637629291508,12
dia2,477,0.9705709995596012,0.03671522932418106,12
dia2,478,0.9710859117521293,0.03685541006686471,12
dia2,479,0.9715332438310695,0.03701883955106545,12
dia2,480,0.9719063673546371,0.03715092903333281,12
dia2,481,0.9722599544819476,0.03728530778009012,12
dia2,482,0.9727049838835621,0.0374570560046386,12
dia2,483,0.9732644618883244,0.037681202111972484,12
dia2,484,0.9737450907046084,0.03796305557576371,12
dia2,485,0.9743330656247506,0.03826683753763414,12
dia2,486,0.9750777413404578,0.03857523971875662,12
dia2,487,0.9758471884458509,0.03892311178435052,12
dia2,488,0.9766416010912381,0.03929301295682529,12
dia2,489,0.9775254170018801,0.03965055182901346,12
dia2,490,0.9785601260074293,0.03999618415372434,12
dia2,491,0.9797190753305322,0.04042485608097022,12
dia2,492,0.9809628339249103,0.04089840955529001,12
dia2,493,0.9822616335733375,0.041451506364449664,12
dia2,494,0.9836295067760387,0.04210710577613289,12
dia2,495,0.9852430448060941,0.042876575653417286,12
dia2,496,0.9869911982875125,0.04376556277017026,12
dia2,497,0.988779318160974,0.04476957663375829,12
dia2,498,0.9906556037867346,0.045907573094047596,12
dia2,499,0.9926790893054817,0.0472465888072597,12
dia2,500,0.9948734093496725,0.04878014085198929,12
dia2,501,0.9972193513237085,0.050445736767870994,12
dia2,502,0.9996466828707303,0.05218340968369115,12
dia2,503,1.0022052114336448,0.05411021199491906,12
dia2,504,1.0049855285618081,0.056250759459154365,12
dia2,505,1.0080230400238275,0.05853823681655735,12
dia2,506,1.0111875342785996,0.060993006229397996,12
dia2,507,1.0143995889101796,0.06363102094072041,12
dia2,508,1.017675485137108,0.06647307128540876,12
dia2,509,1.0210598810820497,0.06951156804262856,12
dia2,510,1.0244439243039443,0.07268268397648821,12
dia2,511,1.0277618265579307,0.07592307012363694,12
