analysis_id,analysis_label,dia,cultivar,modelo,classe,classe_codigo,precision,recall,f1,support
dia4_EMB48,dia4 - EMB48,dia4,EMB48,k-NN (k=5),Nao irrigado,0,1.0,1.0,1.0,4
dia4_EMB48,dia4 - EMB48,dia4,EMB48,k-NN (k=5),Irrigado,1,1.0,1.0,1.0,4
