cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,modelo,y_true,y_pred,prob_irrigado,acertou
EMB48,IRR,2017-02-25,dia4,1,B1,EMB48_IRR_B1,dia4_EMB48,dia4 - EMB48,SVM (RBF),1,1,0.6478202684334287,True
EMB48,IRR,2017-02-25,dia4,2,B2,EMB48_IRR_B2,dia4_EMB48,dia4 - EMB48,SVM (RBF),1,1,0.9163107061823923,True
EMB48,IRR,2017-02-25,dia4,3,B3,EMB48_IRR_B3,dia4_EMB48,dia4 - EMB48,SVM (RBF),1,1,0.9000272743808222,True
EMB48,IRR,2017-02-25,dia4,4,B4,EMB48_IRR_B4,dia4_EMB48,dia4 - EMB48,SVM (RBF),1,1,0.6773024912539034,True
EMB48,NIRR,2017-02-25,dia4,1,B1,EMB48_NIRR_B1,dia4_EMB48,dia4 - EMB48,SVM (RBF),0,0,0.16279111122221337,True
EMB48,NIRR,2017-02-25,dia4,2,B2,EMB48_NIRR_B2,dia4_EMB48,dia4 - EMB48,SVM (RBF),0,1,0.5177904373273892,False
EMB48,NIRR,2017-02-25,dia4,3,B3,EMB48_NIRR_B3,dia4_EMB48,dia4 - EMB48,SVM (RBF),0,0,0.18712205086391812,True
EMB48,NIRR,2017-02-25,dia4,4,B4,EMB48_NIRR_B4,dia4_EMB48,dia4 - EMB48,SVM (RBF),0,0,0.2030855104785893,True
