subset_type,subset_name,subset_label,rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
genotipo,BR16,Genotipo BR16,18,2267,nao_irrigado,1.5181702204,-0.0109570579,0.0109570579,5.0231740456
genotipo,BR16,Genotipo BR16,19,1827,irrigado,1.6083672247,0.0093140578,0.0093140578,4.9645089468
genotipo,BR16,Genotipo BR16,20,1663,irrigado,1.4654846256,0.0114639622,0.0114639622,4.9142345940
genotipo,CD202,Genotipo CD202,1,2280,nao_irrigado,1.6434807380,-0.0127569484,0.0127569484,7.3337720881
genotipo,CD202,Genotipo CD202,2,873,irrigado,1.2905355851,0.0176553418,0.0176553418,7.1776108069
genotipo,CD202,Genotipo CD202,3,2279,nao_irrigado,1.6131135118,-0.0126181242,0.0126181242,7.1131893728
genotipo,CD202,Genotipo CD202,4,2281,nao_irrigado,1.6230566558,-0.0119788391,0.0119788391,6.9322524382
genotipo,CD202,Genotipo CD202,5,2278,nao_irrigado,1.5752546873,-0.0124564811,0.0124564811,6.8424143934
genotipo,CD202,Genotipo CD202,6,874,irrigado,1.2740615798,0.0164649939,0.0164649939,6.6456946157
genotipo,CD202,Genotipo CD202,7,423,nao_irrigado,1.2315874623,-0.0168486554,0.0168486554,6.5508057039
genotipo,CD202,Genotipo CD202,8,2277,nao_irrigado,1.5140400920,-0.0116654534,0.0116654534,6.2087661250
genotipo,CD202,Genotipo CD202,9,422,nao_irrigado,1.2036485039,-0.0160159340,0.0160159340,6.0872095300
genotipo,CD202,Genotipo CD202,10,2308,nao_irrigado,1.5685572618,-0.0095639963,0.0095639963,5.7356751034
genotipo,CD202,Genotipo CD202,11,2276,nao_irrigado,1.4586456766,-0.0111049239,0.0111049239,5.6927773796
genotipo,CD202,Genotipo CD202,12,554,nao_irrigado,1.3281066115,-0.0130676850,0.0130676850,5.6908694447
genotipo,CD202,Genotipo CD202,13,990,nao_irrigado,1.2191074422,-0.0144536629,0.0144536629,5.5957691718
genotipo,CD202,Genotipo CD202,14,875,irrigado,1.1961719438,0.0146374832,0.0146374832,5.5358965697
genotipo,CD202,Genotipo CD202,15,2307,nao_irrigado,1.5456196345,-0.0092740976,0.0092740976,5.5006471478
genotipo,CD202,Genotipo CD202,16,989,nao_irrigado,1.1740152756,-0.0148653526,0.0148653526,5.4966507753
genotipo,CD202,Genotipo CD202,17,555,nao_irrigado,1.3014404811,-0.0129082666,0.0129082666,5.4833012955
genotipo,CD202,Genotipo CD202,18,368,nao_irrigado,1.3850677997,-0.0112200964,0.0112200964,5.3252609127
genotipo,CD202,Genotipo CD202,19,811,nao_irrigado,1.0685318817,-0.0158411080,0.0158411080,5.2694786518
genotipo,CD202,Genotipo CD202,20,628,irrigado,1.3042383979,0.0121018018,0.0121018018,5.2007295796
genotipo,EMB48,Genotipo EMB48,1,1661,irrigado,1.5810757399,0.0151694677,0.0151694677,6.8954396375
genotipo,EMB48,Genotipo EMB48,2,994,nao_irrigado,1.5934314156,-0.0144399489,0.0144399489,6.7346789591
genotipo,EMB48,Genotipo EMB48,3,1660,irrigado,1.5139576994,0.0141739040,0.0141739040,6.2129171537
genotipo,EMB48,Genotipo EMB48,4,391,nao_irrigado,1.3544294922,-0.0168435095,0.0168435095,6.1707831007
genotipo,EMB48,Genotipo EMB48,5,1663,irrigado,1.5114342235,0.0132620236,0.0132620236,5.9128808652
genotipo,EMB48,Genotipo EMB48,6,2307,nao_irrigado,1.5961779495,-0.0115885957,0.0115885957,5.8551596835
genotipo,EMB48,Genotipo EMB48,7,1662,irrigado,1.5278039023,0.0125673716,0.0125673716,5.7851968776
genotipo,EMB48,Genotipo EMB48,8,2308,nao_irrigado,1.5188839035,-0.0116309896,0.0116309896,5.4421969036
genotipo,EMB48,Genotipo EMB48,9,1664,irrigado,1.4699363239,0.0121685170,0.0121685170,5.3409180153
genotipo,EMB48,Genotipo EMB48,10,1784,irrigado,1.5958190667,0.0093958686,0.0093958686,5.1651708878
genotipo,EMB48,Genotipo EMB48,11,1187,nao_irrigado,0.9284362537,-0.0207170422,0.0207170422,5.0368908081
genotipo,EMB48,Genotipo EMB48,12,2306,nao_irrigado,1.5786228471,-0.0090315518,0.0090315518,4.9560251219
genotipo,EMB48,Genotipo EMB48,13,2304,nao_irrigado,1.4969704412,-0.0104346134,0.0104346134,4.9459619220
genotipo,EMB48,Genotipo EMB48,14,995,nao_irrigado,1.3443289547,-0.0130216666,0.0130216666,4.9159047387
genotipo,EMB48,Genotipo EMB48,15,383,nao_irrigado,1.2414227600,-0.0145939361,0.0145939361,4.8417223750
genotipo,EMB48,Genotipo EMB48,16,380,nao_irrigado,1.3272967443,-0.0130566372,0.0130566372,4.8329474376
genotipo,EMB48,Genotipo EMB48,17,2294,irrigado,1.6205312317,0.0078076592,0.0078076592,4.8031239014
genotipo,EMB48,Genotipo EMB48,18,1731,nao_irrigado,1.0766200397,-0.0173001547,0.0173001547,4.7819882740
genotipo,EMB48,Genotipo EMB48,19,2305,nao_irrigado,1.5536462797,-0.0088413391,0.0088413391,4.7586004131
genotipo,EMB48,Genotipo EMB48,20,1659,irrigado,1.3911222763,0.0115111632,0.0115111632,4.7000136199
turno_genotipo,manha_BR16,manha / BR16,1,1826,irrigado,1.5904382169,0.0073773859,0.0073773859,7.5808275390
turno_genotipo,manha_BR16,manha / BR16,2,1816,irrigado,1.4135490608,0.0086079812,0.0086079812,7.4699335386
turno_genotipo,manha_BR16,manha / BR16,3,1835,irrigado,1.5702418893,0.0073596711,0.0073596711,7.4538343127
turno_genotipo,manha_BR16,manha / BR16,4,907,irrigado,1.5978256178,0.0069984147,0.0069984147,7.3487436757
turno_genotipo,manha_BR16,manha / BR16,5,906,irrigado,1.5698206968,0.0069505077,0.0069505077,7.1557823559
turno_genotipo,manha_BR16,manha / BR16,6,1834,irrigado,1.5169955120,0.0071776601,0.0071776601,7.0212487271
turno_genotipo,manha_BR16,manha / BR16,7,1827,irrigado,1.5142112759,0.0071152711,0.0071152711,6.9604227442
turno_genotipo,manha_BR16,manha / BR16,8,1833,irrigado,1.4942909921,0.0070938966,0.0070938966,6.8323457535
turno_genotipo,manha_BR16,manha / BR16,9,1815,irrigado,1.3852724600,0.0079315390,0.0079315390,6.8212427601
turno_genotipo,manha_BR16,manha / BR16,10,1832,irrigado,1.4820047842,0.0070443803,0.0070443803,6.7270966873
turno_genotipo,manha_BR16,manha / BR16,11,1828,irrigado,1.4852253083,0.0070191478,0.0070191478,6.7270722879
turno_genotipo,manha_BR16,manha / BR16,12,1831,irrigado,1.4740861454,0.0070075552,0.0070075552,6.6557132903
turno_genotipo,manha_BR16,manha / BR16,13,1829,irrigado,1.4713461156,0.0069775359,0.0069775359,6.6185283100
turno_genotipo,manha_BR16,manha / BR16,14,1830,irrigado,1.4702438659,0.0069854184,0.0069854184,6.6179920966
turno_genotipo,manha_BR16,manha / BR16,15,1817,irrigado,1.3247317024,0.0079775441,0.0079775441,6.5121834528
turno_genotipo,manha_BR16,manha / BR16,16,2186,irrigado,1.4689736155,0.0065354923,0.0065354923,6.2856834555
turno_genotipo,manha_BR16,manha / BR16,17,2185,irrigado,1.4590516243,0.0063041788,0.0063041788,6.0624313446
turno_genotipo,manha_BR16,manha / BR16,18,2187,irrigado,1.4222260162,0.0063789797,0.0063789797,5.9082683964
turno_genotipo,manha_BR16,manha / BR16,19,436,irrigado,1.3769643982,0.0064705791,0.0064705791,5.7185463346
turno_genotipo,manha_BR16,manha / BR16,20,2184,irrigado,1.4269923438,0.0059931487,0.0059931487,5.6564077073
