dataset,n_registros_top5,n_slots,n_bandas_distintas,persistencia_media,persistencia_p90,familias_distintas,mediana_min_q_por_banda,prop_q_lt_0_05_global,mediana_neglog10_q_slot,rank_robustez
TOP5_n20_10,148,10,94,0.13097345132743365,0.2,50,9.142598950987489e-14,0.8163172436209979,5.459080463699167,1
TOP5_n20_10_001,144,10,92,0.12972972972972974,0.2,50,4.8947205779693806e-14,0.8163172436209979,5.459080463699167,2
TOP5_n10_10_0001,145,10,94,0.12719298245614039,0.2,46,8.607117285344192e-15,0.8163172436209979,5.459080463699167,3
TOP5_n10_5,148,10,97,0.12649572649572652,0.2,47,1.6989675818016574e-14,0.8163172436209979,5.459080463699167,4
TOP5_POR_DIA_TURNO,147,10,98,0.12564102564102564,0.2,50,2.09162636924178e-14,0.8163172436209979,5.459080463699167,5
TOP5_n10_10_3bands,90,10,61,0.1232876712328767,0.2,33,3.2498719943846698e-18,0.8163172436209979,5.459080463699167,6
