cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,modelo,y_true,y_pred,prob_irrigado,acertou
BR16,IRR,2017-02-26,dia5,1,B1,BR16_IRR_B1,dia5,dia5,SVM (RBF),1,1,0.783277125889407,True
BR16,IRR,2017-02-26,dia5,2,B2,BR16_IRR_B2,dia5,dia5,SVM (RBF),1,1,0.7603516963218534,True
BR16,IRR,2017-02-26,dia5,3,B3,BR16_IRR_B3,dia5,dia5,SVM (RBF),1,1,0.5619507057558083,True
BR16,IRR,2017-02-26,dia5,4,B4,BR16_IRR_B4,dia5,dia5,SVM (RBF),1,1,0.9726688997348764,True
BR16,NIRR,2017-02-26,dia5,1,B1,BR16_NIRR_B1,dia5,dia5,SVM (RBF),0,1,0.49344040619868,False
BR16,NIRR,2017-02-26,dia5,2,B2,BR16_NIRR_B2,dia5,dia5,SVM (RBF),0,0,0.14776451240273236,True
BR16,NIRR,2017-02-26,dia5,3,B3,BR16_NIRR_B3,dia5,dia5,SVM (RBF),0,0,0.0712546113642669,True
BR16,NIRR,2017-02-26,dia5,4,B4,BR16_NIRR_B4,dia5,dia5,SVM (RBF),0,0,0.06161962595931792,True
CD202,IRR,2017-02-26,dia5,1,B1,CD202_IRR_B1,dia5,dia5,SVM (RBF),1,1,0.9288898548482895,True
CD202,IRR,2017-02-26,dia5,2,B2,CD202_IRR_B2,dia5,dia5,SVM (RBF),1,1,0.9414794338309403,True
CD202,IRR,2017-02-26,dia5,3,B3,CD202_IRR_B3,dia5,dia5,SVM (RBF),1,1,0.8624671050719306,True
CD202,IRR,2017-02-26,dia5,4,B4,CD202_IRR_B4,dia5,dia5,SVM (RBF),1,1,0.9547264813227128,True
CD202,NIRR,2017-02-26,dia5,1,B1,CD202_NIRR_B1,dia5,dia5,SVM (RBF),0,0,0.38226647413265324,True
CD202,NIRR,2017-02-26,dia5,2,B2,CD202_NIRR_B2,dia5,dia5,SVM (RBF),0,0,0.06783310369496429,True
CD202,NIRR,2017-02-26,dia5,3,B3,CD202_NIRR_B3,dia5,dia5,SVM (RBF),0,0,0.10481250682338578,True
CD202,NIRR,2017-02-26,dia5,4,B4,CD202_NIRR_B4,dia5,dia5,SVM (RBF),0,0,0.06652979254356117,True
EMB48,IRR,2017-02-26,dia5,1,B1,EMB48_IRR_B1,dia5,dia5,SVM (RBF),1,1,0.9220233697770422,True
EMB48,IRR,2017-02-26,dia5,2,B2,EMB48_IRR_B2,dia5,dia5,SVM (RBF),1,1,0.8906814496028459,True
EMB48,IRR,2017-02-26,dia5,3,B3,EMB48_IRR_B3,dia5,dia5,SVM (RBF),1,1,0.9586469440535618,True
EMB48,IRR,2017-02-26,dia5,4,B4,EMB48_IRR_B4,dia5,dia5,SVM (RBF),1,1,0.9085829582825337,True
EMB48,NIRR,2017-02-26,dia5,1,B1,EMB48_NIRR_B1,dia5,dia5,SVM (RBF),0,0,0.1553420624630626,True
EMB48,NIRR,2017-02-26,dia5,2,B2,EMB48_NIRR_B2,dia5,dia5,SVM (RBF),0,0,0.045155861443189324,True
EMB48,NIRR,2017-02-26,dia5,3,B3,EMB48_NIRR_B3,dia5,dia5,SVM (RBF),0,0,0.10032151181018843,True
EMB48,NIRR,2017-02-26,dia5,4,B4,EMB48_NIRR_B4,dia5,dia5,SVM (RBF),0,0,0.09243145514683213,True
