subset,band,wavelength_nm
joint_cluster_soft_corr_0p90_top_15,band_381,381
joint_cluster_soft_corr_0p90_top_15,band_722,722
joint_cluster_soft_corr_0p90_top_15,band_2444,2444
joint_cluster_soft_corr_0p90_top_15,band_383,383
joint_cluster_soft_corr_0p90_top_15,band_721,721
joint_cluster_soft_corr_0p90_top_15,band_384,384
joint_cluster_soft_corr_0p90_top_15,band_723,723
joint_cluster_soft_corr_0p90_top_15,band_380,380
joint_cluster_soft_corr_0p90_top_15,band_725,725
joint_cluster_soft_corr_0p90_top_15,band_382,382
joint_cluster_soft_corr_0p90_top_15,band_726,726
joint_cluster_soft_corr_0p90_top_15,band_377,377
joint_cluster_soft_corr_0p90_top_15,band_724,724
joint_cluster_soft_corr_0p90_top_15,band_376,376
joint_cluster_soft_corr_0p90_top_15,band_727,727
