subset,band,wavelength_nm
kruskal_cluster_hard_corr_0p85_top_20,band_381,381
kruskal_cluster_hard_corr_0p85_top_20,band_721,721
kruskal_cluster_hard_corr_0p85_top_20,band_2444,2444
