subset,band,wavelength_nm
kruskal_cluster_soft_corr_0p90_top_20,band_381,381
kruskal_cluster_soft_corr_0p90_top_20,band_721,721
kruskal_cluster_soft_corr_0p90_top_20,band_2444,2444
kruskal_cluster_soft_corr_0p90_top_20,band_377,377
kruskal_cluster_soft_corr_0p90_top_20,band_722,722
kruskal_cluster_soft_corr_0p90_top_20,band_361,361
kruskal_cluster_soft_corr_0p90_top_20,band_723,723
kruskal_cluster_soft_corr_0p90_top_20,band_380,380
kruskal_cluster_soft_corr_0p90_top_20,band_720,720
kruskal_cluster_soft_corr_0p90_top_20,band_384,384
kruskal_cluster_soft_corr_0p90_top_20,band_724,724
kruskal_cluster_soft_corr_0p90_top_20,band_376,376
kruskal_cluster_soft_corr_0p90_top_20,band_725,725
kruskal_cluster_soft_corr_0p90_top_20,band_383,383
kruskal_cluster_soft_corr_0p90_top_20,band_719,719
kruskal_cluster_soft_corr_0p90_top_20,band_391,391
kruskal_cluster_soft_corr_0p90_top_20,band_718,718
kruskal_cluster_soft_corr_0p90_top_20,band_379,379
kruskal_cluster_soft_corr_0p90_top_20,band_726,726
kruskal_cluster_soft_corr_0p90_top_20,band_378,378
