subset,band,wavelength_nm
ttest_cluster_soft_corr_0p85_top_10,band_727,727
ttest_cluster_soft_corr_0p85_top_10,band_383,383
ttest_cluster_soft_corr_0p85_top_10,band_2444,2444
ttest_cluster_soft_corr_0p85_top_10,band_728,728
ttest_cluster_soft_corr_0p85_top_10,band_382,382
ttest_cluster_soft_corr_0p85_top_10,band_726,726
ttest_cluster_soft_corr_0p85_top_10,band_384,384
ttest_cluster_soft_corr_0p85_top_10,band_729,729
ttest_cluster_soft_corr_0p85_top_10,band_381,381
ttest_cluster_soft_corr_0p85_top_10,band_725,725
