subset,band,wavelength_nm
kruskal_cluster_soft_corr_0p85_top_10,band_381,381
kruskal_cluster_soft_corr_0p85_top_10,band_721,721
kruskal_cluster_soft_corr_0p85_top_10,band_2444,2444
kruskal_cluster_soft_corr_0p85_top_10,band_377,377
kruskal_cluster_soft_corr_0p85_top_10,band_722,722
kruskal_cluster_soft_corr_0p85_top_10,band_361,361
kruskal_cluster_soft_corr_0p85_top_10,band_723,723
kruskal_cluster_soft_corr_0p85_top_10,band_380,380
kruskal_cluster_soft_corr_0p85_top_10,band_720,720
kruskal_cluster_soft_corr_0p85_top_10,band_384,384
