cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,modelo,y_true,y_pred,prob_irrigado,acertou
CD202,IRR,2017-02-25,dia4,1,B1,CD202_IRR_B1,dia4_CD202,dia4 - CD202,LDA,1,1,0.9999999999999889,True
CD202,IRR,2017-02-25,dia4,2,B2,CD202_IRR_B2,dia4_CD202,dia4 - CD202,LDA,1,1,0.9999999732800686,True
CD202,IRR,2017-02-25,dia4,3,B3,CD202_IRR_B3,dia4_CD202,dia4 - CD202,LDA,1,1,1.0,True
CD202,IRR,2017-02-25,dia4,4,B4,CD202_IRR_B4,dia4_CD202,dia4 - CD202,LDA,1,1,0.9999999999715274,True
CD202,NIRR,2017-02-25,dia4,1,B1,CD202_NIRR_B1,dia4_CD202,dia4 - CD202,LDA,0,0,1.438975270523277e-22,True
CD202,NIRR,2017-02-25,dia4,2,B2,CD202_NIRR_B2,dia4_CD202,dia4 - CD202,LDA,0,0,2.2280158120327577e-22,True
CD202,NIRR,2017-02-25,dia4,3,B3,CD202_NIRR_B3,dia4_CD202,dia4 - CD202,LDA,0,0,1.559492138400825e-21,True
CD202,NIRR,2017-02-25,dia4,4,B4,CD202_NIRR_B4,dia4_CD202,dia4 - CD202,LDA,0,0,4.0567418576956144e-26,True
