analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia4_CD202,dia4 - CD202,dia4,CD202,SVM (RBF),Nao irrigado,4,0
dia4_CD202,dia4 - CD202,dia4,CD202,SVM (RBF),Irrigado,0,4
