analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia4_CD202,dia4 - CD202,dia4,CD202,XGBoost,Nao irrigado,0,4
dia4_CD202,dia4 - CD202,dia4,CD202,XGBoost,Irrigado,0,4
