analysis_id,analysis_label,dia,cultivar,modelo,classe,classe_codigo,precision,recall,f1,support
dia4_CD202,dia4 - CD202,dia4,CD202,Random Forest,Nao irrigado,0,1.0,1.0,1.0,4
dia4_CD202,dia4 - CD202,dia4,CD202,Random Forest,Irrigado,1,1.0,1.0,1.0,4
