cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,modelo,y_true,y_pred,prob_irrigado,acertou
BR16,IRR,2017-03-02,dia9,1,B1,BR16_IRR_B1,dia9,dia9,XGBoost,1,0,0.15439138,False
BR16,IRR,2017-03-02,dia9,2,B2,BR16_IRR_B2,dia9,dia9,XGBoost,1,1,0.8739932,True
BR16,IRR,2017-03-02,dia9,3,B3,BR16_IRR_B3,dia9,dia9,XGBoost,1,1,0.9355993,True
BR16,IRR,2017-03-02,dia9,4,B4,BR16_IRR_B4,dia9,dia9,XGBoost,1,1,0.91296726,True
BR16,NIRR,2017-03-02,dia9,1,B1,BR16_NIRR_B1,dia9,dia9,XGBoost,0,0,0.17262934,True
BR16,NIRR,2017-03-02,dia9,2,B2,BR16_NIRR_B2,dia9,dia9,XGBoost,0,0,0.17262934,True
BR16,NIRR,2017-03-02,dia9,3,B3,BR16_NIRR_B3,dia9,dia9,XGBoost,0,1,0.753345,False
BR16,NIRR,2017-03-02,dia9,4,B4,BR16_NIRR_B4,dia9,dia9,XGBoost,0,0,0.46726725,True
CD202,IRR,2017-03-02,dia9,1,B1,CD202_IRR_B1,dia9,dia9,XGBoost,1,1,0.9546506,True
CD202,IRR,2017-03-02,dia9,2,B2,CD202_IRR_B2,dia9,dia9,XGBoost,1,1,0.942841,True
CD202,IRR,2017-03-02,dia9,3,B3,CD202_IRR_B3,dia9,dia9,XGBoost,1,1,0.9439381,True
CD202,IRR,2017-03-02,dia9,4,B4,CD202_IRR_B4,dia9,dia9,XGBoost,1,1,0.729995,True
CD202,NIRR,2017-03-02,dia9,1,B1,CD202_NIRR_B1,dia9,dia9,XGBoost,0,0,0.05710184,True
CD202,NIRR,2017-03-02,dia9,2,B2,CD202_NIRR_B2,dia9,dia9,XGBoost,0,0,0.11011131,True
CD202,NIRR,2017-03-02,dia9,3,B3,CD202_NIRR_B3,dia9,dia9,XGBoost,0,0,0.13289627,True
CD202,NIRR,2017-03-02,dia9,4,B4,CD202_NIRR_B4,dia9,dia9,XGBoost,0,0,0.14708312,True
EMB48,IRR,2017-03-02,dia9,1,B1,EMB48_IRR_B1,dia9,dia9,XGBoost,1,1,0.9387089,True
EMB48,IRR,2017-03-02,dia9,2,B2,EMB48_IRR_B2,dia9,dia9,XGBoost,1,1,0.94304925,True
EMB48,IRR,2017-03-02,dia9,3,B3,EMB48_IRR_B3,dia9,dia9,XGBoost,1,1,0.91296726,True
EMB48,IRR,2017-03-02,dia9,4,B4,EMB48_IRR_B4,dia9,dia9,XGBoost,1,0,0.16413012,False
EMB48,NIRR,2017-03-02,dia9,1,B1,EMB48_NIRR_B1,dia9,dia9,XGBoost,0,1,0.5478323,False
EMB48,NIRR,2017-03-02,dia9,2,B2,EMB48_NIRR_B2,dia9,dia9,XGBoost,0,0,0.23956177,True
EMB48,NIRR,2017-03-02,dia9,3,B3,EMB48_NIRR_B3,dia9,dia9,XGBoost,0,0,0.06762813,True
EMB48,NIRR,2017-03-02,dia9,4,B4,EMB48_NIRR_B4,dia9,dia9,XGBoost,0,0,0.09967228,True
