target,model,classes,n_classes,n_samples,n_groups,cv_splits,inner_splits,n_bandas,bandas,n_param_candidates,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,top_n_requested,n_features_after_pruning,variant,augmentation_method,correlation_threshold,analysis_source
condicao,SVM (RBF),NIRR; IRR,2,144,8,4,2,6,band_400|band_579|band_1580|band_739|band_1951|band_629,2,0.9722222222222223,0.022680460581325734,0.9722222222222223,0.022680460581325734,0.9722114972114972,0.022680463962381305,0.9444444444444444,0.04536092116265147,0.9938271604938271,0.00666742870206573,8,6,jitter,jitter,0.95,cond
condicao,SVM (RBF),NIRR; IRR,2,144,8,4,2,6,band_400|band_579|band_1580|band_739|band_1951|band_629,2,0.9722222222222223,0.022680460581325734,0.9722222222222223,0.022680460581325734,0.9722114972114972,0.022680463962381305,0.9444444444444444,0.04536092116265147,0.9938271604938271,0.00666742870206573,20,6,jitter,jitter,0.95,cond
condicao,SVM (RBF),NIRR; IRR,2,144,8,4,2,5,band_400|band_579|band_1580|band_739|band_1951,2,0.9652777777777777,0.02659519743767607,0.9652777777777777,0.02659519743767607,0.9652294156164125,0.02663833678899389,0.9305555555555555,0.05319039487535214,0.996141975308642,0.005842498298148455,5,5,jitter,jitter,0.95,cond
condicao,SVM (RBF),NIRR; IRR,2,144,8,4,2,6,band_400|band_579|band_1580|band_739|band_1951|band_629,2,0.9652777777777777,0.02659519743767607,0.9652777777777777,0.02659519743767607,0.9652294156164125,0.02663833678899389,0.9305555555555555,0.05319039487535214,0.9938271604938271,0.00666742870206573,8,6,mixup,mixup,0.95,cond
condicao,SVM (RBF),NIRR; IRR,2,144,8,4,2,5,band_400|band_579|band_1580|band_739|band_1951,2,0.9652777777777777,0.02659519743767607,0.9652777777777777,0.02659519743767607,0.9652294156164125,0.02663833678899389,0.9305555555555555,0.05319039487535214,0.996141975308642,0.005842498298148455,10,5,jitter,jitter,0.95,cond
condicao,SVM (RBF),NIRR; IRR,2,144,8,4,2,5,band_400|band_579|band_1580|band_739|band_1951,2,0.9652777777777777,0.02659519743767607,0.9652777777777777,0.02659519743767607,0.9652294156164125,0.02663833678899389,0.9305555555555555,0.05319039487535214,0.996141975308642,0.005842498298148455,15,5,jitter,jitter,0.95,cond
condicao,SVM (RBF),NIRR; IRR,2,144,8,4,2,6,band_400|band_579|band_1580|band_739|band_1951|band_629,2,0.9652777777777777,0.02659519743767607,0.9652777777777777,0.02659519743767607,0.9652294156164125,0.02663833678899389,0.9305555555555555,0.05319039487535214,0.9938271604938271,0.00666742870206573,20,6,mixup,mixup,0.95,cond
condicao,Random Forest,NIRR; IRR,2,144,8,4,2,5,band_400|band_579|band_1580|band_739|band_1951,2,0.9583333333333333,0.016037507477489613,0.9583333333333333,0.016037507477489613,0.9583226083226084,0.016025123301831305,0.9166666666666666,0.03207501495497923,0.9884259259259258,0.008499337264330442,5,5,baseline,baseline,0.95,cond
condicao,Random Forest,NIRR; IRR,2,144,8,4,2,5,band_400|band_579|band_1580|band_739|band_1951,2,0.9583333333333333,0.016037507477489613,0.9583333333333333,0.016037507477489613,0.9583226083226084,0.016025123301831305,0.9166666666666666,0.03207501495497923,0.9868827160493827,0.009554617088995231,5,5,mixup,mixup,0.95,cond
condicao,Random Forest,NIRR; IRR,2,144,8,4,2,6,band_400|band_579|band_1580|band_739|band_1951|band_629,2,0.9583333333333333,0.016037507477489613,0.9583333333333333,0.016037507477489613,0.9583226083226084,0.016025123301831305,0.9166666666666666,0.03207501495497923,0.9884259259259259,0.00636281732348405,8,6,baseline,baseline,0.95,cond
condicao,Random Forest,NIRR; IRR,2,144,8,4,2,5,band_400|band_579|band_1580|band_739|band_1951,2,0.9583333333333333,0.016037507477489613,0.9583333333333333,0.016037507477489613,0.9583226083226084,0.016025123301831305,0.9166666666666666,0.03207501495497923,0.9884259259259258,0.008499337264330442,10,5,baseline,baseline,0.95,cond
condicao,Random Forest,NIRR; IRR,2,144,8,4,2,5,band_400|band_579|band_1580|band_739|band_1951,2,0.9583333333333333,0.016037507477489613,0.9583333333333333,0.016037507477489613,0.9583226083226084,0.016025123301831305,0.9166666666666666,0.03207501495497923,0.9868827160493827,0.009554617088995231,10,5,mixup,mixup,0.95,cond
condicao,Random Forest,NIRR; IRR,2,144,8,4,2,5,band_400|band_579|band_1580|band_739|band_1951,2,0.9583333333333333,0.016037507477489613,0.9583333333333333,0.016037507477489613,0.9583226083226084,0.016025123301831305,0.9166666666666666,0.03207501495497923,0.9884259259259258,0.008499337264330442,15,5,baseline,baseline,0.95,cond
condicao,Random Forest,NIRR; IRR,2,144,8,4,2,5,band_400|band_579|band_1580|band_739|band_1951,2,0.9583333333333333,0.016037507477489613,0.9583333333333333,0.016037507477489613,0.9583226083226084,0.016025123301831305,0.9166666666666666,0.03207501495497923,0.9868827160493827,0.009554617088995231,15,5,mixup,mixup,0.95,cond
condicao,Random Forest,NIRR; IRR,2,144,8,4,2,6,band_400|band_579|band_1580|band_739|band_1951|band_629,2,0.9583333333333333,0.016037507477489613,0.9583333333333333,0.016037507477489613,0.9583226083226084,0.016025123301831305,0.9166666666666666,0.03207501495497923,0.9884259259259259,0.00636281732348405,20,6,baseline,baseline,0.95,cond
condicao_genotipo,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,6,band_400|band_530|band_720|band_730|band_1349|band_1522,2,0.6111111111111112,0.1134023029066286,0.6111111111111112,0.11340230290662866,0.5916375291375292,0.12292704226284368,0.5333333333333333,0.13608276348795434,,,10,6,jitter,jitter,0.95,gen_cond
condicao_genotipo,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,8,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707|band_630,2,0.6041666666666666,0.061593216183565114,0.6041666666666666,0.061593216183565114,0.5790795153991748,0.06745084240465853,0.5249999999999999,0.07391185942027821,,,8,8,jitter,jitter,0.95,gen_cond
condicao_genotipo,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,6,band_400|band_530|band_720|band_730|band_1349|band_1522,2,0.5902777777777777,0.09453971229936173,0.5902777777777777,0.09453971229936171,0.5673727649056596,0.1166212067225824,0.5083333333333333,0.11344765475923412,,,10,6,baseline,baseline,0.95,gen_cond
condicao_genotipo,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,8,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707|band_630,2,0.5902777777777778,0.0730543233243495,0.5902777777777778,0.07305432332434952,0.5661793028666093,0.09101733906495196,0.5083333333333333,0.08766518798921949,,,8,8,baseline,baseline,0.95,gen_cond
condicao_genotipo,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,5,band_400|band_530|band_720|band_730|band_1349,2,0.5972222222222222,0.15298807075794726,0.5972222222222222,0.1529880707579473,0.56441903004403,0.1779352530879028,0.5166666666666667,0.18358568490953678,,,5,5,baseline,baseline,0.95,gen_cond
condicao_genotipo,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,6,band_400|band_530|band_720|band_730|band_1349|band_1522,2,0.5833333333333333,0.1178511301977579,0.5833333333333334,0.11785113019775799,0.5632857746828335,0.13046473508138204,0.5,0.14142135623730953,,,10,6,mixup,mixup,0.95,gen_cond
condicao_genotipo,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,2,0.5833333333333333,0.09886183566695657,0.5833333333333333,0.09886183566695654,0.5587894500723448,0.11753317249864834,0.5,0.11863420280034788,,,15,7,jitter,jitter,0.95,gen_cond
condicao_genotipo,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,2,0.5833333333333333,0.09886183566695657,0.5833333333333333,0.09886183566695654,0.5587894500723448,0.11753317249864834,0.5,0.11863420280034788,,,20,7,jitter,jitter,0.95,gen_cond
condicao_genotipo,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,2,0.5833333333333333,0.08784104611578829,0.5833333333333333,0.08784104611578827,0.558291568324463,0.10692373323314233,0.5,0.10540925533894596,,,15,7,baseline,baseline,0.95,gen_cond
condicao_genotipo,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,2,0.5833333333333333,0.08784104611578829,0.5833333333333333,0.08784104611578827,0.558291568324463,0.10692373323314233,0.5,0.10540925533894596,,,20,7,baseline,baseline,0.95,gen_cond
condicao_genotipo,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,2,0.5625,0.13678969169161256,0.5625,0.1367896916916126,0.5388714477530268,0.1464016641772252,0.47500000000000003,0.16414763002993507,,,15,7,mixup,mixup,0.95,gen_cond
condicao_genotipo,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,2,0.5625,0.13678969169161256,0.5625,0.1367896916916126,0.5388714477530268,0.1464016641772252,0.47500000000000003,0.16414763002993507,,,20,7,mixup,mixup,0.95,gen_cond
condicao_genotipo,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,5,band_400|band_530|band_720|band_730|band_1349,2,0.5694444444444445,0.048112522432468836,0.5694444444444445,0.048112522432468746,0.5311420061420061,0.041124111010963756,0.4833333333333333,0.05773502691896258,,,5,5,mixup,mixup,0.95,gen_cond
condicao_genotipo,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,2,5,band_400|band_530|band_720|band_730|band_1349,2,0.5694444444444444,0.080187537387448,0.5694444444444444,0.08018753738744804,0.5266226828726829,0.08753576077359797,0.48333333333333334,0.0962250448649376,,,5,5,jitter,jitter,0.95,gen_cond
