target,top_n_requested,n_features_after_pruning,variant,model,fold,inner_f1_macro,best_params,train_samples_real,train_samples_after_augmentation,test_samples
condicao,5,5,jitter,XGBoost,4,0.9107247910064811,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,5,5,mixup,Random Forest,1,0.9082640938089418,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao,5,5,mixup,Random Forest,2,0.9495989136721402,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,5,5,mixup,Random Forest,3,0.8877083267743016,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,5,5,mixup,Random Forest,4,0.8488218390804597,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao,5,5,mixup,SVM (RBF),1,0.9182644110275688,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao,5,5,mixup,SVM (RBF),2,0.9796992481203007,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao,5,5,mixup,SVM (RBF),3,0.9077540634990597,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao,5,5,mixup,SVM (RBF),4,0.9102539749446422,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao,5,5,mixup,LDA,1,0.8274075153458043,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,5,5,mixup,LDA,2,0.8423405296644733,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,5,5,mixup,LDA,3,0.8368485709596012,"{""model__shrinkage"": 0.05}",108,432,36
condicao,5,5,mixup,LDA,4,0.8472628731930536,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,5,5,mixup,XGBoost,1,0.9266307893020221,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 240, ""model__reg_lambda"": 2.0, ""model__subsample"": 0.9}",108,432,36
condicao,5,5,mixup,XGBoost,2,0.9205882352941177,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,5,5,mixup,XGBoost,3,0.9182644110275688,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,5,5,mixup,XGBoost,4,0.9115459153249851,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,8,6,baseline,Random Forest,1,0.9177318295739347,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,108,36
condicao,8,6,baseline,Random Forest,2,0.9301937831988983,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,108,36
condicao,8,6,baseline,Random Forest,3,0.8984962406015037,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,108,36
condicao,8,6,baseline,Random Forest,4,0.8834520637337538,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,108,36
condicao,8,6,baseline,SVM (RBF),1,0.9002874834144183,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,108,36
condicao,8,6,baseline,SVM (RBF),2,0.9794442329653598,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,108,36
condicao,8,6,baseline,SVM (RBF),3,0.9186274509803922,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,108,36
condicao,8,6,baseline,SVM (RBF),4,0.9221013651409984,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,108,36
condicao,8,6,baseline,LDA,1,0.8183886272571488,"{""model__shrinkage"": 0.05}",108,108,36
condicao,8,6,baseline,LDA,2,0.8517857142857143,"{""model__shrinkage"": ""auto""}",108,108,36
condicao,8,6,baseline,LDA,3,0.8183886272571488,"{""model__shrinkage"": 0.05}",108,108,36
condicao,8,6,baseline,LDA,4,0.8567015121360717,"{""model__shrinkage"": 0.05}",108,108,36
condicao,8,6,baseline,XGBoost,1,0.9274996827813728,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,108,36
condicao,8,6,baseline,XGBoost,2,0.9111495963510996,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 240, ""model__reg_lambda"": 2.0, ""model__subsample"": 0.9}",108,108,36
condicao,8,6,baseline,XGBoost,3,0.8974310776942356,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,108,36
condicao,8,6,baseline,XGBoost,4,0.8744959427159218,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 240, ""model__reg_lambda"": 2.0, ""model__subsample"": 0.9}",108,108,36
condicao,8,6,jitter,Random Forest,1,0.9274996827813728,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,8,6,jitter,Random Forest,2,0.939799331103679,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,8,6,jitter,Random Forest,3,0.9082640938089418,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao,8,6,jitter,Random Forest,4,0.9107247910064811,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,8,6,jitter,SVM (RBF),1,0.927777249080066,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao,8,6,jitter,SVM (RBF),2,0.9897221164826799,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao,8,6,jitter,SVM (RBF),3,0.9082640938089418,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao,8,6,jitter,SVM (RBF),4,0.9390660149998791,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao,8,6,jitter,LDA,1,0.8183886272571488,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,8,6,jitter,LDA,2,0.8534821162696171,"{""model__shrinkage"": 0.05}",108,432,36
condicao,8,6,jitter,LDA,3,0.8274075153458043,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,8,6,jitter,LDA,4,0.8656237109149411,"{""model__shrinkage"": 0.05}",108,432,36
condicao,8,6,jitter,XGBoost,1,0.9488655975683403,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,8,6,jitter,XGBoost,2,0.9593984962406015,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,8,6,jitter,XGBoost,3,0.9176351052512043,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,8,6,jitter,XGBoost,4,0.9107247910064811,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,8,6,mixup,Random Forest,1,0.9274996827813728,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao,8,6,mixup,Random Forest,2,0.939799331103679,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,8,6,mixup,Random Forest,3,0.8984962406015037,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,8,6,mixup,Random Forest,4,0.8488218390804597,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,8,6,mixup,SVM (RBF),1,0.908932552954292,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao,8,6,mixup,SVM (RBF),2,0.9694213646029806,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao,8,6,mixup,SVM (RBF),3,0.9096075259186278,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao,8,6,mixup,SVM (RBF),4,0.9120784967786192,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao,8,6,mixup,LDA,1,0.8183886272571488,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,8,6,mixup,LDA,2,0.8517857142857143,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,8,6,mixup,LDA,3,0.8368485709596012,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,8,6,mixup,LDA,4,0.8472628731930536,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,8,6,mixup,XGBoost,1,0.9266307893020221,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,8,6,mixup,XGBoost,2,0.9205882352941177,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,8,6,mixup,XGBoost,3,0.9182644110275688,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,8,6,mixup,XGBoost,4,0.9024621212121212,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 240, ""model__reg_lambda"": 2.0, ""model__subsample"": 0.9}",108,432,36
condicao,10,5,baseline,Random Forest,1,0.9177769318614389,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,108,36
condicao,10,5,baseline,Random Forest,2,0.9301937831988983,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,108,36
condicao,10,5,baseline,Random Forest,3,0.8984433583331318,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,108,36
condicao,10,5,baseline,Random Forest,4,0.8834520637337538,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,108,36
condicao,10,5,baseline,SVM (RBF),1,0.908932552954292,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,108,36
condicao,10,5,baseline,SVM (RBF),2,0.9897221164826799,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,108,36
condicao,10,5,baseline,SVM (RBF),3,0.9282329988851727,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,108,36
condicao,10,5,baseline,SVM (RBF),4,0.9221013651409984,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,108,36
condicao,10,5,baseline,LDA,1,0.8183886272571488,"{""model__shrinkage"": 0.05}",108,108,36
condicao,10,5,baseline,LDA,2,0.8614481409001956,"{""model__shrinkage"": ""auto""}",108,108,36
condicao,10,5,baseline,LDA,3,0.8183886272571488,"{""model__shrinkage"": 0.05}",108,108,36
condicao,10,5,baseline,LDA,4,0.856185071971923,"{""model__shrinkage"": 0.05}",108,108,36
condicao,10,5,baseline,XGBoost,1,0.9274996827813728,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,108,36
condicao,10,5,baseline,XGBoost,2,0.9017109574080815,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,108,36
condicao,10,5,baseline,XGBoost,3,0.8783764687010247,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,108,36
condicao,10,5,baseline,XGBoost,4,0.8924618039934942,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,108,36
condicao,10,5,jitter,Random Forest,1,0.9383326988960792,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,10,5,jitter,Random Forest,2,0.9495989136721402,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,10,5,jitter,Random Forest,3,0.9274996827813728,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao,10,5,jitter,Random Forest,4,0.8924618039934942,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,10,5,jitter,SVM (RBF),1,0.9196078431372549,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao,10,5,jitter,SVM (RBF),2,0.9897221164826799,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
