target,top_n_requested,n_features_after_pruning,variant,model,classe,classe_codigo,precision,recall,f1,support
condicao,20,6,baseline,SVM (RBF),IRR,1,0.9571428571428572,0.9305555555555556,0.9436619718309859,72
condicao,20,6,baseline,LDA,NIRR,0,0.8641975308641975,0.9722222222222222,0.9150326797385621,72
condicao,20,6,baseline,LDA,IRR,1,0.9682539682539683,0.8472222222222222,0.9037037037037037,72
condicao,20,6,baseline,XGBoost,NIRR,0,0.9577464788732394,0.9444444444444444,0.951048951048951,72
condicao,20,6,baseline,XGBoost,IRR,1,0.9452054794520548,0.9583333333333334,0.9517241379310345,72
condicao,20,6,jitter,Random Forest,NIRR,0,0.9583333333333334,0.9583333333333334,0.9583333333333334,72
condicao,20,6,jitter,Random Forest,IRR,1,0.9583333333333334,0.9583333333333334,0.9583333333333334,72
condicao,20,6,jitter,SVM (RBF),NIRR,0,0.9857142857142858,0.9583333333333334,0.971830985915493,72
condicao,20,6,jitter,SVM (RBF),IRR,1,0.9594594594594594,0.9861111111111112,0.9726027397260274,72
condicao,20,6,jitter,LDA,NIRR,0,0.875,0.9722222222222222,0.9210526315789473,72
condicao,20,6,jitter,LDA,IRR,1,0.96875,0.8611111111111112,0.9117647058823529,72
condicao,20,6,jitter,XGBoost,NIRR,0,0.9577464788732394,0.9444444444444444,0.951048951048951,72
condicao,20,6,jitter,XGBoost,IRR,1,0.9452054794520548,0.9583333333333334,0.9517241379310345,72
condicao,20,6,mixup,Random Forest,NIRR,0,0.9583333333333334,0.9583333333333334,0.9583333333333334,72
condicao,20,6,mixup,Random Forest,IRR,1,0.9583333333333334,0.9583333333333334,0.9583333333333334,72
condicao,20,6,mixup,SVM (RBF),NIRR,0,0.958904109589041,0.9722222222222222,0.9655172413793104,72
condicao,20,6,mixup,SVM (RBF),IRR,1,0.971830985915493,0.9583333333333334,0.965034965034965,72
condicao,20,6,mixup,LDA,NIRR,0,0.8765432098765432,0.9861111111111112,0.9281045751633987,72
condicao,20,6,mixup,LDA,IRR,1,0.9841269841269841,0.8611111111111112,0.9185185185185185,72
