genotype,date_iso,date_label,source_rank,class_rank,direction_label,wavelength,morning_count,afternoon_count,morning_mean_reflectance,afternoon_mean_reflectance,morning_std_reflectance,afternoon_std_reflectance,diff_morning_minus_afternoon,abs_diff,pct_diff_vs_morning,vip,cohen_d,q_value,combined_score
BR16,2017-02-24,24/02/2017,2,2,irrigado,1659,64,64,0.397164206918349,0.39855371180017146,0.029011949234157345,0.01755516865940385,-0.0013895048818224343,0.0013895048818224343,-0.349856522218805,1.5599149139,1.4576342588,5.4712963742e-160,6.6076822732
BR16,2017-02-24,24/02/2017,3,3,irrigado,1654,64,64,0.39694319006935497,0.3983011201491641,0.029065223265754777,0.017605436287540417,-0.001357930079809111,0.001357930079809111,-0.34209683243888117,1.4421700899,1.5624596437,2.1531956457e-179,6.5559239513
BR16,2017-02-24,24/02/2017,4,4,irrigado,1661,64,64,0.3971784654784175,0.39858673793328525,0.02898481664867134,0.01753617038129154,-0.0014082724548677428,0.0014082724548677428,-0.3545691867184747,1.6068719174,1.3964421004,6.0813715342e-149,6.5274819097
BR16,2017-02-24,24/02/2017,5,5,irrigado,1655,64,64,0.3970033666769233,0.39838042981919886,0.029057334547058434,0.017592149368605845,-0.0013770631422755364,0.0013770631422755364,-0.34686434873389227,1.4524618762,1.5431444838,1.01106218e-175,6.5033170607
BR16,2017-02-24,24/02/2017,6,6,irrigado,1658,64,64,0.39714437082726795,0.39853502674626357,0.029027485762604367,0.01756210438300793,-0.0013906559189956202,0.0013906559189956202,-0.35016382483247266,1.5209404356,1.4754496971,3.5418960953e-163,6.4964481258
BR16,2017-02-24,24/02/2017,7,7,irrigado,1653,64,64,0.3968650828564968,0.39821386743123954,0.02907696857128262,0.017613833887705113,-0.0013487845747427452,0.0013487845747427452,-0.33985972387257224,1.4119435686,1.5718552578,3.1669178256e-181,6.448674252
BR16,2017-02-24,24/02/2017,8,8,irrigado,1656,64,64,0.39705941901724556,0.3984455986805924,0.029048011381107297,0.01758118526792478,-0.0013861796633468648,0.0013861796633468648,-0.34911139163447436,1.4323572271,1.5077088176,3.5632339671e-169,6.2035387061
BR16,2017-02-24,24/02/2017,9,9,irrigado,1657,64,64,0.3971095918423105,0.3984970035477922,0.029039094516354436,0.017570898579738047,-0.0013874117054817336,0.0013874117054817336,-0.3493775355677295,1.4537103712,1.4838718242,1.0353097084e-164,6.1856770629
BR16,2017-02-24,24/02/2017,10,10,irrigado,1652,64,64,0.3967678227754539,0.3981109603145836,0.02909041380587631,0.017619948839508185,-0.0013431375391296796,0.0013431375391296796,-0.3385197745457833,1.3658062069,1.5593458412,4.6649864823e-179,6.1384787064
BR16,2017-02-24,24/02/2017,11,1,nao_irrigado,1924,64,64,0.08402993333751345,0.07840057114446321,0.013404124626403974,0.007437947620200888,0.005629362193050241,0.005629362193050241,6.699234391201317,1.2793988868,-1.9937255058,2.1672729275e-258,8.0327963516
BR16,2017-02-24,24/02/2017,12,2,nao_irrigado,1923,64,64,0.08397623219604054,0.07830925504232199,0.01337520669468793,0.0074277240925393955,0.005666977153718555,0.005666977153718555,6.748310808335781,1.3148501309,-1.9496079354,1.2659483932e-249,7.9691965372
BR16,2017-02-24,24/02/2017,13,3,nao_irrigado,2279,64,64,0.2557597622718192,0.2464429673177842,0.023377731848842224,0.012734092929523079,0.00931679495403498,0.00931679495403498,3.6427915287679897,1.6992624471,-1.5671708898,3.244282072e-180,7.9432984786
BR16,2017-02-24,24/02/2017,14,4,nao_irrigado,2280,64,64,0.2552722774468321,0.2459493253033547,0.023369149102393894,0.01274652755346703,0.00932295214347742,0.00932295214347742,3.652160053070861,1.6419253399,-1.6171442115,9.0643940911e-190,7.9176113549
BR16,2017-02-24,24/02/2017,15,5,nao_irrigado,1427,64,64,0.24907482078048818,0.24279519417567838,0.02656491907681052,0.013381541541067455,0.006279626604809796,0.006279626604809796,2.521180818330925,1.3630282245,-1.8934627205,1.4045805978e-237,7.8887210661
BR16,2017-02-24,24/02/2017,16,6,nao_irrigado,1428,64,64,0.24861093132968817,0.24240078312986452,0.026596140055553164,0.01341917778039,0.006210148199823656,0.006210148199823656,2.4979385124414533,1.3613801823,-1.8934491622,1.3993657901e-237,7.8799858925
BR16,2017-02-24,24/02/2017,17,7,nao_irrigado,1426,64,64,0.2496107911272589,0.24326741371606309,0.026536476144821828,0.013345268116150718,0.006343377411195811,0.006343377411195811,2.5413073619728928,1.3640022684,-1.8907849156,4.1486289918e-237,7.8797142082
BR16,2017-02-24,24/02/2017,18,8,nao_irrigado,1429,64,64,0.24823233740459374,0.24208680763897739,0.026627961586090564,0.013461698140414575,0.006145529765616359,0.006145529765616359,2.4757168344266782,1.3594343382,-1.8940449776,1.0362366145e-237,7.8732838884
BR16,2017-02-24,24/02/2017,19,9,nao_irrigado,1430,64,64,0.24791735679549792,0.2418357042051718,0.02666726265723102,0.01350747498314071,0.006081652590326114,0.006081652590326114,2.453096737128715,1.3574309308,-1.8955089432,6.8020496358e-238,7.8690939613
BR16,2017-02-24,24/02/2017,20,10,nao_irrigado,1425,64,64,0.2502094953113066,0.2438192081153949,0.026511179473946083,0.013310294527726096,0.006390287195911698,0.006390287195911698,2.553974695469093,1.3647469655,-1.8869388077,2.2009120353e-236,7.8624384994
BR16,2017-03-02,02/03/2017,1,1,irrigado,1660,64,64,0.38988075690876756,0.395802223924755,0.023143860120542124,0.012392687615991431,-0.005921467015987447,0.005921467015987447,-1.518789248009251,1.5902408821,1.4297926393,5.6244713303e-155,6.6189286746
BR16,2017-03-02,02/03/2017,2,2,irrigado,1659,64,64,0.3898659793650148,0.39577647504576696,0.023156024306199563,0.012393309735764772,-0.005910495680752137,0.005910495680752137,-1.5160326865090203,1.5599149139,1.4576342588,5.4712963742e-160,6.6076822732
BR16,2017-03-02,02/03/2017,3,3,irrigado,1654,64,64,0.38969217331619005,0.395472853759939,0.023212000793337878,0.012377743832783724,-0.0057806804437489645,0.0057806804437489645,-1.48339659854,1.4421700899,1.5624596437,2.1531956457e-179,6.5559239513
BR16,2017-03-02,02/03/2017,4,4,irrigado,1661,64,64,0.38988727743323504,0.3958126622774042,0.02314832653835041,0.012384391566275903,-0.005925384844169157,0.005925384844169157,-1.5197687093505712,1.6068719174,1.3964421004,6.0813715342e-149,6.5274819097
BR16,2017-03-02,02/03/2017,5,5,irrigado,1655,64,64,0.3897247764341506,0.3955531102961712,0.023217768464329575,0.012382722662164272,-0.005828333862020585,0.005828333862020585,-1.495499956494391,1.4524618762,1.5431444838,1.01106218e-175,6.5033170607
BR16,2017-03-02,02/03/2017,6,6,irrigado,1658,64,64,0.3898343035176934,0.395747975302504,0.02317573740157358,0.012392561730064587,-0.005913671784810615,0.005913671784810615,-1.5169706030095966,1.5209404356,1.4754496971,3.5418960953e-163,6.4964481258
BR16,2017-03-02,02/03/2017,7,7,irrigado,1653,64,64,0.38962763623179775,0.39536915765905795,0.0232128478840268,0.012374364408588474,-0.005741521427260199,0.005741521427260199,-1.4735919358257343,1.4119435686,1.5718552578,3.1669178256e-181,6.448674252
BR16,2017-03-02,02/03/2017,8,8,irrigado,1656,64,64,0.3897680391084623,0.39562678216777475,0.023209436943648343,0.012384530496987492,-0.0058587430593124434,0.0058587430593124434,-1.5031358324590867,1.4323572271,1.5077088176,3.5632339671e-169,6.2035387061
BR16,2017-03-02,02/03/2017,9,9,irrigado,1657,64,64,0.389805748761365,0.39569746026143005,0.02318727221232527,0.012389484544184152,-0.005891711500065067,0.005891711500065067,-1.5114480786356772,1.4537103712,1.4838718242,1.0353097084e-164,6.1856770629
BR16,2017-03-02,02/03/2017,10,10,irrigado,1652,64,64,0.3895500131605177,0.3952517338195507,0.023205138138131545,0.012373147675752675,-0.005701720659033016,0.005701720659033016,-1.4636684549882353,1.3658062069,1.5593458412,4.6649864823e-179,6.1384787064
