genotype,date_iso,date_label,morning_count,afternoon_count,pearson_r,pearson_p_value,mean_abs_diff,rmse,top_abs_diff_band,top_abs_diff_value
BR16,2017-02-23,23/02/2017,64,64,0.999949258761443,2.116972591634341e-37,0.0117023600631105,0.012832552483909514,1652,-0.0168032664534134
BR16,2017-02-24,24/02/2017,64,64,0.9997376842890711,5.578964203019989e-31,0.004058585809382389,0.004951561126814626,2280,0.00932295214347742
BR16,2017-03-02,02/03/2017,64,64,0.9992756882978883,5.196870630036761e-27,0.00790450653241254,0.008225655769738901,1425,0.011181030007908183
CD202,2017-02-23,23/02/2017,64,64,0.9999835844396391,8.219033294602494e-42,0.015119324129689393,0.01561918441431693,1652,-0.018714119773636517
CD202,2017-02-24,24/02/2017,64,64,0.9996523800321823,7.02981505230782e-30,0.004091227966732667,0.0046634998871604195,2280,0.010053034785070969
CD202,2017-03-02,02/03/2017,68,64,0.9989831245443894,1.0999291075320598e-25,0.009341486535847824,0.010905218361773451,1425,0.016378761821155635
EMB48,2017-02-23,23/02/2017,64,64,0.9999137021372333,2.5200573813413294e-35,0.015774428705978255,0.01592377530776155,1430,-0.01692776987033892
EMB48,2017-02-24,24/02/2017,64,64,0.9997095098912072,1.3972462066768933e-30,0.005965374772913425,0.007341515093013736,1658,-0.010133131675482965
EMB48,2017-03-02,02/03/2017,64,64,0.9996676968638165,4.686357061422643e-30,0.0080597498085043,0.009447090134941827,1661,-0.01292926454618637
