analysis_id,analysis_label,dia,cultivar,modelo,classe,classe_codigo,precision,recall,f1,support
dia2_CD202,dia2 - CD202,dia2,CD202,LDA,Nao irrigado,0,1.0,0.75,0.8571428571428571,4
dia2_CD202,dia2 - CD202,dia2,CD202,LDA,Irrigado,1,0.8,1.0,0.8888888888888888,4
