analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia2_CD202,dia2 - CD202,dia2,CD202,LDA,Nao irrigado,3,1
dia2_CD202,dia2 - CD202,dia2,CD202,LDA,Irrigado,0,4
