analysis_id,analysis_label,dia,cultivar,modelo,classe,classe_codigo,precision,recall,f1,support
dia2_CD202,dia2 - CD202,dia2,CD202,SVM (RBF),Nao irrigado,0,0.75,0.75,0.75,4
dia2_CD202,dia2 - CD202,dia2,CD202,SVM (RBF),Irrigado,1,0.75,0.75,0.75,4
