analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia5_EMB48,dia5 - EMB48,dia5,EMB48,XGBoost,Nao irrigado,0,4
dia5_EMB48,dia5 - EMB48,dia5,EMB48,XGBoost,Irrigado,0,4
