cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,modelo,y_true,y_pred,prob_irrigado,acertou
EMB48,IRR,2017-02-26,dia5,1,B1,EMB48_IRR_B1,dia5_EMB48,dia5 - EMB48,SVM (RBF),1,1,0.521089749254601,True
EMB48,IRR,2017-02-26,dia5,2,B2,EMB48_IRR_B2,dia5_EMB48,dia5 - EMB48,SVM (RBF),1,1,0.8219296941170424,True
EMB48,IRR,2017-02-26,dia5,3,B3,EMB48_IRR_B3,dia5_EMB48,dia5 - EMB48,SVM (RBF),1,1,0.8857067378070683,True
EMB48,IRR,2017-02-26,dia5,4,B4,EMB48_IRR_B4,dia5_EMB48,dia5 - EMB48,SVM (RBF),1,1,0.6566691414432771,True
EMB48,NIRR,2017-02-26,dia5,1,B1,EMB48_NIRR_B1,dia5_EMB48,dia5 - EMB48,SVM (RBF),0,0,0.19792676950572746,True
EMB48,NIRR,2017-02-26,dia5,2,B2,EMB48_NIRR_B2,dia5_EMB48,dia5 - EMB48,SVM (RBF),0,0,0.27163020292006673,True
EMB48,NIRR,2017-02-26,dia5,3,B3,EMB48_NIRR_B3,dia5_EMB48,dia5 - EMB48,SVM (RBF),0,0,0.12313259720795915,True
EMB48,NIRR,2017-02-26,dia5,4,B4,EMB48_NIRR_B4,dia5_EMB48,dia5 - EMB48,SVM (RBF),0,0,0.10032277727956193,True
