analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia5_EMB48,dia5 - EMB48,dia5,EMB48,k-NN (k=5),Nao irrigado,4,0
dia5_EMB48,dia5 - EMB48,dia5,EMB48,k-NN (k=5),Irrigado,0,4
