target,model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,classes,n_samples,cv_splits
condition,lr,0.8995381062355658,0.8995669056152927,0.8997780019104643,0.8995669056152927,0.8995272545424238,0.9752664170506913,irrigado|nao_irrigado,1732,5
condition,svm,0.8752886836027713,0.8753573562041304,0.876610797157291,0.8753573562041304,0.8751928260695508,nan,irrigado|nao_irrigado,1732,5
condition,knn,0.8019630484988453,0.8020459976105137,0.8035504901271047,0.8020459976105137,0.8017329791682728,0.875446028545827,irrigado|nao_irrigado,1732,5
condition,nb,0.7886836027713626,0.7887144777265744,0.7888993851671577,0.7887144777265744,0.7886554218409936,0.8233806963645675,irrigado|nao_irrigado,1732,5
condition,dt,0.8042725173210161,0.804334144051886,0.8051564917084597,0.804334144051886,0.804151802466665,0.8105605425413893,irrigado|nao_irrigado,1732,5
condition,rf,0.8689376443418014,0.8689649470899471,0.8691406692947525,0.8689649470899471,0.8689250167109235,0.9466252506827103,irrigado|nao_irrigado,1732,5
condition,gboost,0.878175519630485,0.878178870114354,0.8781773573081051,0.878178870114354,0.8781754790199288,0.9483806963645673,irrigado|nao_irrigado,1732,5
condition,mlp,0.8724018475750578,0.8724211682881038,0.872503124220612,0.8724211682881038,0.8723967006066935,0.9468659327530295,irrigado|nao_irrigado,1732,5
turno,lr,0.8227482678983834,0.8110312139561706,0.7993344173441734,0.8110312139561706,0.8043595280556819,0.9019067185697809,manha|tarde,1732,5
turno,svm,0.7032332563510393,0.6801230296039985,0.6713910086027037,0.6801230296039985,0.6745727123717113,nan,manha|tarde,1732,5
turno,knn,0.6541570438799076,0.5906592416378316,0.5998123331046057,0.5906592416378316,0.5930832610666137,0.6180540537293349,manha|tarde,1732,5
turno,nb,0.5715935334872979,0.6202692474048443,0.6117165528324628,0.6202692474048443,0.5699212893553224,0.6399131343713955,manha|tarde,1732,5
turno,dt,0.6252886836027713,0.5716461216839677,0.5735982227570408,0.5716461216839677,0.5724258761030574,0.5764992731161092,manha|tarde,1732,5
turno,rf,0.6737875288683602,0.5979611207227989,0.6189521386692927,0.5979611207227989,0.6011823761881532,0.676240057910419,manha|tarde,1732,5
turno,gboost,0.6795612009237876,0.6157877979623222,0.6301568168657898,0.6157877979623222,0.6197329356311971,0.692519103229527,manha|tarde,1732,5
turno,mlp,0.7280600461893765,0.6808649317570166,0.6917201964483288,0.6808649317570166,0.6852127896436933,0.7147416258169934,manha|tarde,1732,5
