analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia6_CD202,dia6 - CD202,dia6,CD202,LDA,Nao irrigado,4,0
dia6_CD202,dia6 - CD202,dia6,CD202,LDA,Irrigado,0,4
