target,model,feature,gini_mean,gini_std
condicao,Random Forest,band_400,0.47514562819584805,0.02368422855262573
condicao,Random Forest,band_1580,0.23580800890813491,0.03576263173327093
condicao,Random Forest,band_739,0.22633932326179795,0.037971992336012214
condicao,Random Forest,band_579,0.037603045289584865,0.006106498126471144
condicao,Random Forest,band_530,0.025103994344634218,0.007880206812987671
