index_name,mean,std,min,max,corr_condition,p_condition,eta2_genotype,eta2_turno,eta2_date
NDVI,0.8056514975872644,0.04173844730069134,0.6490264947615366,0.8691767397933284,-0.6058712541604468,4.6428569319637055e-174,0.022611767273507267,0.08133777815330628,0.09362985166020045
GNDVI,0.5984086499116275,0.04514054304297657,0.44543817205581104,0.7084722993140986,-0.18820867778895534,2.8395431160450764e-15,0.3409191466440798,0.02900384303937125,0.11818603444071256
NDRE,0.4822121795865103,0.0438319207139349,0.3251226589641051,0.5927869602058699,0.03175317527222677,0.18654786000625934,0.39401923434584124,0.007250699866703338,0.12017780962401302
RVI,9.708112898474782,1.9748080170088014,4.698435836748224,14.28780124299339,-0.604271813346735,6.531433539792485e-173,0.03058553203922918,0.08157862498894963,0.06286478913906637
DVI,0.4240995576129325,0.03590496231541369,0.3351557464661985,0.5021585703579243,-0.6054241552400323,9.736691694521724e-174,0.052264738760467555,0.0705465250173293,0.08829295783030075
SAVI,0.6194245921391798,0.040579771654114576,0.5033858692557204,0.6878443980057799,-0.627912063208571,1.4248559455568488e-190,0.04160927429808565,0.08020958403282366,0.09457677467648583
OSAVI,0.7164157959318138,0.04127524841926595,0.5805953488099823,0.7723245512793299,-0.6261030405836336,3.625069514158817e-189,0.03276337414791974,0.08291573820506073,0.09578515300716876
EVI,0.794089499933624,0.036157994197937506,0.6831412682671327,0.8891309045886305,-0.4334977862131434,2.802930114238716e-80,0.07952820803729607,0.04788978794960911,0.06328010705727256
PRI,0.06998041652764399,0.009104483622972025,0.03987000076837524,0.0952525686496155,-0.27229067898969306,8.045437332161178e-31,0.016344450568712386,0.035334157979412355,0.08407223602064007
CIgreen,3.043644002333414,0.5706327429750093,1.6064508936977893,4.860411533087367,-0.19155063092091737,8.937746129539956e-16,0.37006025798580894,0.029861933887717372,0.10738635109954424
CIrededge,1.8904217145599642,0.33109363489504157,0.9635014815138463,2.91143407640167,0.017959002554595472,0.4551082809982704,0.4121393927710869,0.008352206838524136,0.11499818602230848
MSAVI,0.6552401487332664,0.054276872781415346,0.5040751309632716,0.7401141253242522,-0.6307671108216978,8.250221812588056e-193,0.04020425616786895,0.0818666493219545,0.09091801418541685
NDSI,0.06966049683524703,0.008917285488034884,0.04138985043809166,0.09622490220700428,0.3023390207892734,6.146714657275893e-38,0.025337450632038988,9.455063398491794e-07,0.07393396638760479
SIPI,0.9787104778639915,0.012170704478907418,0.9317329324515503,1.00306024807375,-0.5914966281387662,5.709801262621049e-164,0.0028307890316886415,0.051770800538121595,0.11820872777571567
