sample_id,data_coleta_iso,genotipo_normalizado,condicao_normalizada,turno,NDVI,GNDVI,NDRE,RVI,DVI,SAVI,OSAVI,EVI,PRI,CIgreen,CIrededge,MSAVI,NDSI,SIPI
B1_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,manha,0.8466512845453632,0.6589309355396837,0.5532495221686624,12.042169894091053,0.4538122810110105,0.6570587255343738,0.7563445699053164,0.8443564174083912,0.08336675493538939,3.8639149908381745,2.4767719325306765,0.7081663936484011,0.08012752264523348,0.9736748830682735
B1_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,manha,0.8463639132087145,0.6585965502622881,0.55230337390243,12.017774936672248,0.4540255986729202,0.6570922926016252,0.7562285069891025,0.8443056669715022,0.08322109035997023,3.858171619345173,2.4673108605561036,0.7081110153176668,0.08018063413033003,0.9738500219037891
B1_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,manha,0.845543597808864,0.6582567763867561,0.5515547997410132,11.948637749085005,0.4543757668872641,0.6570066468991211,0.7557975294222655,0.8444731320749441,0.0833409984033587,3.852347206344114,2.459853732061256,0.7077474046627117,0.08016154207016776,0.9740362573971445
B1_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,manha,0.8448219431599623,0.6577779484199681,0.5505558613074655,11.888420184702165,0.45465841007046137,0.6569127987576335,0.755408041978585,0.8452462589622434,0.08288255543090894,3.8441587582274224,2.4499412225469097,0.7074073925983377,0.07986197666052279,0.9738913099539335
B1_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,manha,0.838723010245188,0.664738773416664,0.5533706114959026,11.401025112389453,0.450211464011453,0.6513588756995455,0.7495102547894036,0.829485527054407,0.07439403629532414,3.9654974730663026,2.4779856665917808,0.6991960873636429,0.08224326810092925,0.9787746797645883
B1_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,manha,0.8340910979182089,0.6611778672637023,0.5500165752300171,11.054808240573042,0.4495897549794157,0.6490598940050142,0.7460815575315082,0.8298895211217943,0.07369923260166118,3.9028021099099313,2.444608156450064,0.6952045789090882,0.08211952395680805,0.9783902202005328
B1_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,manha,0.8288711251913832,0.6578069118524618,0.5465320149726777,10.687098406021276,0.4476071133234547,0.645574671697942,0.7417275744210176,0.8273126517528906,0.0719869718065107,3.8446534114028914,2.410454687070128,0.689755559690439,0.0812710558483985,0.9785793482641588
B1_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,manha,0.8248559755121418,0.6548278498738118,0.5435674732204242,10.419173482214063,0.4456338070934131,0.6425825812505256,0.7382083736018853,0.8256627034922249,0.07149954800763057,3.794210220230223,2.3818086631802577,0.6852562396762825,0.08012158910135381,0.978261213825304
B1_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,manha,0.8241440190386506,0.6635648995912838,0.5669058447254209,10.37294272885477,0.46935381831815803,0.6582774125116472,0.7463289767196373,0.8609849008552891,0.07727299043098178,3.944682934599607,2.617933480843241,0.7023672546132724,0.07421204452804726,0.9768543467039513
B1_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,manha,0.8252115232868977,0.6643077320282812,0.5669819922471052,10.442401911212944,0.4707005356501989,0.659614066874579,0.7475530223910459,0.8637649515677527,0.07745136996219414,3.957837551886942,2.6187455583632815,0.7041301707609142,0.07386166740669192,0.9763687358558951
B1_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,manha,0.8263719761109127,0.6650473015214732,0.5671853905695431,10.518877858551157,0.4721540576552995,0.6610593582833381,0.7488793062996624,0.8641836955578953,0.07824917558149154,3.9709923493218735,2.620916106856493,0.7060392067434894,0.07382700990194341,0.9769970499134253
B1_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,manha,0.8276620693527793,0.6660356280000397,0.5676087038506163,10.605106272826509,0.4732744606064536,0.6623417195366351,0.7501813384499431,0.8647847685509047,0.07877072048706421,3.9886627666984715,2.6254400072591526,0.7078179076947393,0.07356792425704517,0.977334601694968
B1_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,manha,0.8450229189072999,0.6775431278756788,0.5710701305481156,11.905134010129492,0.47071512396162346,0.667968926489511,0.7615005274159566,0.8437004145828414,0.08152248892424792,4.202379830903134,2.6627669053585272,0.7197339022479867,0.07550816247208432,0.9846079855110595
B1_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,manha,0.8450331782809459,0.6770889105234779,0.5702700602440594,11.905988377472722,0.4715147210283327,0.6685094450018648,0.7617959752998824,0.8445465646482871,0.08120992970806107,4.193655359567371,2.6540857756754703,0.7203234940965768,0.07514776779941883,0.9846920201114434
B1_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,manha,0.8451273028828337,0.676901145327197,0.5696456338406228,11.91383205192672,0.472839688301151,0.6694352914488809,0.7623379996595064,0.8454570231777913,0.08200475677042181,4.190055987742103,2.647332889517661,0.7213579355248456,0.07452875074871709,0.9850549749532737
B1_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,manha,0.8450941680643567,0.6765514325158231,0.5690293164796157,11.911069744817059,0.4744122441685784,0.6704702346026356,0.762877081944094,0.8474676567605466,0.08215021118679414,4.183363294993847,2.6406868877089242,0.722460372284725,0.07323744396798747,0.9850558281249884
B1_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,manha,0.825956909154113,0.6249146128172307,0.48434382038637336,10.491407043391195,0.42684528008904743,0.6296960784923636,0.7316027167788296,0.7687244328813065,0.07957530180176724,3.3321192142989364,1.8785533443981408,0.6705898844474184,0.07930762014409111,0.9949400867835413
B1_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,manha,0.8219800501591701,0.6223653311500142,0.4822816543867497,10.234695896657808,0.4262585532297637,0.6277275997388173,0.7286736193657873,0.7692787253829434,0.07889214668506933,3.2961239128033926,1.8631043634950775,0.6673307511949497,0.07935887102339127,0.9943929402654166
B1_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,manha,0.816135100596031,0.6195598613597085,0.47927089689940144,9.877551976931747,0.422359629209599,0.6226359041085271,0.7231417891565943,0.7644651257616647,0.07685877705146157,3.2570688443866143,1.840768622478211,0.6600065288459646,0.07980656164756768,0.9945242221755676
B1_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,manha,0.8109743729972485,0.6166802306675127,0.4764547437904522,9.580575934134513,0.4212915005724971,0.6198574344051652,0.7192152036806703,0.7640361973588806,0.07511246879238959,3.217575924880677,1.8201091047599984,0.6556306311264364,0.07905383179481297,0.9942285379168682
B1_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,manha,0.8150546702149098,0.5992974163506811,0.47770168376677125,9.814006508431628,0.4353752828280321,0.631486929832298,0.7275415722323114,0.8061908995430085,0.07615798720431839,2.9912331030795927,1.829229269632402,0.6700909631527183,0.07077259752645376,0.9814481833816574
B1_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,manha,0.8135459930237501,0.5983218432864041,0.47641346929922873,9.726505868306472,0.4346428454225928,0.6303695408391145,0.7262231691442328,0.804844071951752,0.0760088886716377,2.979110679961712,1.8198079643553635,0.668449721831553,0.07036041137033774,0.9816998460711464
B1_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,manha,0.8121425245846576,0.5963206068754449,0.4751524815701813,9.646368985733,0.43671171515685553,0.6312517534525717,0.726050328340642,0.8085378159064478,0.07640258075627444,2.954426790328881,1.8106305732060637,0.669132499767399,0.07089385867069016,0.9813318618972635
B1_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,manha,0.8111193995726441,0.596205589362383,0.47447651839433663,9.588699927228406,0.43506229767517135,0.629689927338259,0.7247157585283718,0.8064403358865188,0.07664557137619625,2.9530155626519763,1.8057290872888885,0.6671042720216327,0.07033105958588254,0.981298397536959
B1_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,manha,0.7905251505591728,0.6090985617791609,0.4814765637511295,8.547685582965237,0.4107133327561545,0.6042597848954329,0.7010978171959762,0.7437933030462086,0.07166234993167836,3.116379231304091,1.8571062755976953,0.633394940018088,0.055445525624831224,0.9990141410460676
B1_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,manha,0.7894646353223428,0.6077841494677136,0.48069933147664595,8.499591686470946,0.4117656789130278,0.6046036870311488,0.7007997654182919,0.7441294998841229,0.07089073737327495,3.099232979202008,1.851333382040612,0.6336227175254545,0.05550339812590373,0.9996979848744343
B1_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,manha,0.7884267003644816,0.6065565731488161,0.47981973734868993,8.452988649538673,0.41258900349325006,0.604787873663713,0.7004222533246084,0.746377277625233,0.07107621858152777,3.0833229468501964,1.8448210045613558,0.6336649478944332,0.05635188197538399,0.999050691335841
B1_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,manha,0.7877076205104503,0.6055613012355494,0.47929773478637255,8.420969348070505,0.4128848504664104,0.6047172875317248,0.7000502881244595,0.7471933325006453,0.07085424997369369,3.0704963946611956,1.8409665822741594,0.6334612269017295,0.056022699479173634,0.998833083326167
B1_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,manha,0.8276197010270095,0.612415876852852,0.49668087833508995,10.602253922957699,0.4260543710233162,0.6297642799731561,0.7324049086870524,0.7938991589677942,0.07520052605185587,3.160170090973234,1.9736221294042573,0.6710666446880136,0.07776393991309348,0.9805289840277552
B1_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,manha,0.8239870534030486,0.610830870656297,0.49469336646986506,10.36280051364494,0.4266611310951185,0.6287985971537864,0.7301952633364589,0.795247179703524,0.07481888945338154,3.1391537745370792,1.9579927657544314,0.6690630773894126,0.07740705923163606,0.9804398773196786
B1_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,manha,0.8217135482733635,0.6100206072953833,0.49340245807423155,10.217902317482688,0.4265710866193369,0.6278497365618255,0.7286189007085733,0.7945158066612502,0.07423902299312671,3.128476112877241,1.947907035626831,0.6674133316143098,0.07647332371249592,0.9808716830034546
B1_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,manha,0.8200426050597723,0.6091657146018922,0.4923065838641641,10.113741675713268,0.42652085863720984,0.6271625488807687,0.7274656396938636,0.7943107918651952,0.07467140297333928,3.1172583233397217,1.9393853385423658,0.6662191696636417,0.0756273761679376,0.9810258175167534
B1_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,manha,0.7988473723359472,0.5731761011224451,0.4678810721496221,8.942698851243552,0.44718462523814795,0.6329354283574308,0.7206770039453712,0.8371004394634305,0.0551299520947509,2.685773231675929,1.7585582758340879,0.6679046217082714,0.08816665658609449,0.9750983338905429
B1_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,manha,0.7988530966362181,0.5728644301667042,0.4674444601169078,8.942981803617043,0.44811797239118595,0.6335603991695705,0.7210148408647282,0.837256228427521,0.05497617842379807,2.6823541312201375,1.755476847427114,0.6685969445281033,0.0879241945358857,0.9756449573964787
B1_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,manha,0.7989114801185103,0.572780323217586,0.46717699009883257,8.945868621334965,0.4482803020859677,0.6336930279757803,0.721113795420996,0.838524504095549,0.05458775649858367,2.6814323138459133,1.7535916483242286,0.6687571778743615,0.08786039542816779,0.9751474836565933
B1_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,manha,0.7988037930270443,0.5724446762660692,0.46654125632473614,8.940545252271255,0.4482627455015925,0.6336361639341634,0.7210318941911741,0.8381368624569966,0.054812074350711185,2.677757214045607,1.7491184158328732,0.6686689920928119,0.08747842396558175,0.9753253154805955
B1_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,manha,0.8012780187875536,0.5886681445151426,0.461575288708448,9.06431189845009,0.4114015135442956,0.6089234103236622,0.7086476252959171,0.765527105303463,0.07376899911089096,2.862254098074899,1.7145397639764322,0.640791544849161,0.06362528726779837,0.9862679790461294
B1_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,manha,0.7993925191511567,0.5877830013169965,0.4603746172611489,8.969717936426264,0.412042823615694,0.6086634688206057,0.7076367767633823,0.7656319891999991,0.07349563506054503,2.851813502087059,1.706274878785473,0.6401444100489,0.0633421118544406,0.9868108777842255
B1_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,manha,0.798090984661704,0.5867708012643381,0.4593055312912489,8.905451703823251,0.41260870223238344,0.6085706591250332,0.7069866120603114,0.7676752224211579,0.07360661837865654,2.8399290420892496,1.6989466616447189,0.6398019591633655,0.0634679662244724,0.9861638987420462
B1_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,manha,0.7974678646285508,0.5865780157281759,0.4588402871480027,8.874976118392015,0.41245852817408835,0.6082201901497026,0.7065042433063279,0.7679843172781322,0.07328173903640692,2.837672102809619,1.6957666147387127,0.6392759126049946,0.06320899155105135,0.9859041181489953
B1_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,manha,0.8317803604541112,0.6096173464267578,0.47425082169927263,10.889218199486267,0.43938880976879574,0.6409750271734688,0.7405597914656706,0.7942000448271241,0.08782612086013603,3.1231784550200743,1.8040953415546834,0.6852834953234209,0.07021919353888863,0.9896657340448407
B1_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,manha,0.8311409133599874,0.608507763842064,0.47346789603736283,10.844195297963216,0.4399452520605184,0.6411159284806487,0.740340300715258,0.7955449112398711,0.08828838047472112,3.1086581425669912,1.7984388510181342,0.6852739116527864,0.07335983572695894,0.989370853687147
B1_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,manha,0.8313277310158736,0.6081776737445396,0.47320118000826067,10.85731366540292,0.4405801594012265,0.6416392294553351,0.7407158802577839,0.7961250961092591,0.08816671377570796,3.1043543616145017,1.796515717387829,0.6859294258170421,0.07302753216144904,0.9894932328073931
B1_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,manha,0.831737579495239,0.607999196493595,0.47287414538265626,10.886195348909823,0.4404754259384447,0.6417278669366595,0.7409554721305859,0.7958527586444677,0.08778291608906183,3.1020303583824713,1.7941603176566998,0.6861432702643105,0.07217274641045078,0.9895447925875356
B1_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,manha,0.8255718220627448,0.5684757702540947,0.43371439498052433,10.466037332107172,0.42906314101181076,0.6311507477119217,0.7322367232373413,0.7838257144836217,0.08494907105366581,2.634733954980143,1.531786756139097,0.6722158431873084,0.06375824747168564,0.9882194206177796
B1_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,manha,0.8255912316990144,0.5684831615122471,0.43344132043854644,10.467313366656565,0.43033522715743205,0.6320744754728217,0.732759770046542,0.7856904363041454,0.08462055200568279,2.634813341256816,1.5300844769479238,0.6733073359553634,0.0635530887226139,0.9881277692780003
B1_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,manha,0.8254644281904405,0.567807850931787,0.43307681158305844,10.458982139080819,0.4317732007384481,0.633057074582022,0.7332471251440494,0.7870512470102817,0.08429469033205705,2.627571334444439,1.5278147743166701,0.6744289287999776,0.0637556676850475,0.9884323094892002
B1_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,manha,0.8255039647720808,0.5675452333751283,0.43260134596105526,10.461578467314089,0.4323922071693649,0.6335158291911706,0.7335199993807111,0.7881515286928079,0.08431512565993907,2.6247611411689653,1.5248585553795224,0.6749756022252239,0.06309819966952994,0.988281206665746
B2_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,manha,0.8504686872774567,0.6859310192888677,0.5808051453219523,12.375125006165216,0.433829800964562,0.6442336063831773,0.7509886808339407,0.8064156069324843,0.09042062672758894,4.368027799088882,2.7710509269872845,0.6943665595826015,0.07763835232825349,0.978539006821061
B2_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,manha,0.8502943712448945,0.686690647446,0.5807103311814749,12.359551117958837,0.4325429001583946,0.6432197353519425,0.7503385578199614,0.8043502268128353,0.08946721359332385,4.383467278255897,2.769972047333295,0.6930990295298263,0.07602343194996006,0.9786940330296868
B2_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,manha,0.8480636196859154,0.685079720063626,0.579242937436015,12.163404287146882,0.4331632700277011,0.6428233537284923,0.7490962971605419,0.8059674519554982,0.08870677499207665,4.350813610365382,2.753336730255971,0.6919830343148881,0.07675517127671055,0.9784070815435116
B2_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,manha,0.8467871582255934,0.6837296297637118,0.5783927894069777,12.053736076149784,0.43333758540935513,0.6424618089604474,0.7483091537342833,0.8067340518071683,0.08895379499252017,4.323703350730526,2.7437518850468634,0.6911871322921684,0.07711344535484041,0.9781971461666035
B2_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,manha,0.8178091526112927,0.6382522861323212,0.5250935620164334,9.977499850653677,0.4093152414195466,0.6136647087090581,0.7188556132190511,0.7690809868777653,0.077743601463729,3.5287149671706457,2.2113558377770555,0.6495889680658229,0.06843493511509706,0.9817630697266241
