wavelength_nm,p_value,q_FDR_BH
1022.0,0.02818842920187009,0.052510870384228484
1023.0,0.029719997208662113,0.05399088952609919
1024.0,0.029719997208662113,0.05399088952609919
1025.0,0.03194238279787494,0.05677108069189038
1026.0,0.03497564909758057,0.06063825553604206
1027.0,0.03364681423940211,0.05908357534675834
1028.0,0.03497564909758057,0.06063825553604206
1029.0,0.03408487928904427,0.059546922846533054
1030.0,0.03497564909758057,0.06063825553604206
1031.0,0.03236139891407018,0.05721830101099823
1032.0,0.03257266706150901,0.057443284731861555
1033.0,0.0305122536803261,0.054943487531473954
1034.0,0.030113886406605332,0.05446523899466273
1035.0,0.027448489948034165,0.051553894581884675
1036.0,0.027084845853114305,0.051011036588372305
1037.0,0.026725367666754905,0.05056617074217187
1038.0,0.028001850967696928,0.05230582544148124
1039.0,0.02933054633152941,0.05366364899729768
1040.0,0.030113886406605332,0.05446523899466273
1041.0,0.029916384537712056,0.05420362604845179
1042.0,0.0305122536803261,0.054943487531473954
1043.0,0.03031250779120194,0.05472795200682674
1044.0,0.029719997208662113,0.05399088952609919
1045.0,0.02913747289671871,0.05354924454405921
1046.0,0.02875460541568072,0.05303569757874205
1047.0,0.030713129075718576,0.05520826269438983
1048.0,0.02913747289671871,0.05354924454405921
1049.0,0.0305122536803261,0.054943487531473954
1050.0,0.03152802620538992,0.05627848716036094
1051.0,0.03173462460842798,0.05649975266656752
1052.0,0.0338652411311393,0.059314781861628266
1053.0,0.03520142208011865,0.060875309179024756
1054.0,0.03776811605701496,0.0633380261920995
1055.0,0.03849515575620682,0.06387828839480598
1056.0,0.038740130849404704,0.06412914315748915
1057.0,0.03849515575620682,0.06387828839480598
1058.0,0.03973331939573384,0.0649864737485248
1059.0,0.03973331939573384,0.0649864737485248
1060.0,0.039483018077693666,0.0649395910804729
1061.0,0.03898642928792615,0.06432917656438981
1062.0,0.03849515575620682,0.06387828839480598
1063.0,0.03898642928792615,0.06432917656438981
1064.0,0.038740130849404704,0.06412914315748915
1065.0,0.04023796337983232,0.0651880433586383
1066.0,0.040748032627727256,0.06559985472485762
1067.0,0.04284345119936252,0.06692453801210398
1068.0,0.041523405857336305,0.06591679985557025
1069.0,0.04392487256044898,0.06773677715900817
1070.0,0.045308974683934446,0.06924642852216807
1071.0,0.04730833786196586,0.07150287469041414
1072.0,0.04818764693978739,0.07235202333345822
1073.0,0.04848378436936025,0.07269023519119729
1074.0,0.04878144871123781,0.07297647797720551
1075.0,0.04938138150203829,0.07349870352734436
1076.0,0.051530105480669,0.07543772044314927
1077.0,0.04998749214395629,0.07391805795764553
1078.0,0.04908064580565438,0.0732637587681252
1079.0,0.04759992950302134,0.07178489368433585
1080.0,0.04938138150203829,0.07349870352734436
1081.0,0.05343363610069042,0.07717773777641976
1082.0,0.055728288213883176,0.079374110504635
1083.0,0.05845067623244848,0.0826774737605185
1084.0,0.06020760828769193,0.08475346918191912
1085.0,0.06274066610263108,0.08765742927554247
1086.0,0.061644480614606686,0.08653855560613163
1087.0,0.06460343172446156,0.08995359026943019
1088.0,0.066898754957288,0.09277170143164143
1089.0,0.06886243756902428,0.09504499290314188
1090.0,0.07006321231487105,0.09637803384158318
1091.0,0.07210265319216044,0.09852267934519075
1092.0,0.07251632010845697,0.0988902742968386
1093.0,0.07503929922450688,0.10178941978139128
1094.0,0.07676077199879756,0.10364472901220131
1095.0,0.07895774280918763,0.10612210386739437
1096.0,0.08075191439791962,0.10768672069579528
1097.0,0.0812055924283822,0.10808090205750286
1098.0,0.08257905169126144,0.10969535946811997
1099.0,0.08304103418422416,0.11009512676912976
1100.0,0.08075191439791962,0.10768672069579528
1101.0,0.07940321723024835,0.10651144443377328
