cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,modelo,y_true,y_pred,prob_irrigado,acertou
BR16,IRR,2017-02-24,dia3,1,B1,BR16_IRR_B1,dia3,dia3,LDA,1,1,0.8563844564317041,True
BR16,IRR,2017-02-24,dia3,2,B2,BR16_IRR_B2,dia3,dia3,LDA,1,0,0.06612417366490353,False
BR16,IRR,2017-02-24,dia3,3,B3,BR16_IRR_B3,dia3,dia3,LDA,1,1,0.5378310101965371,True
BR16,IRR,2017-02-24,dia3,4,B4,BR16_IRR_B4,dia3,dia3,LDA,1,1,0.9999993586617536,True
BR16,NIRR,2017-02-24,dia3,1,B1,BR16_NIRR_B1,dia3,dia3,LDA,0,0,0.00033756798021691755,True
BR16,NIRR,2017-02-24,dia3,2,B2,BR16_NIRR_B2,dia3,dia3,LDA,0,0,0.0739133106253351,True
BR16,NIRR,2017-02-24,dia3,3,B3,BR16_NIRR_B3,dia3,dia3,LDA,0,0,0.04038030834778236,True
BR16,NIRR,2017-02-24,dia3,4,B4,BR16_NIRR_B4,dia3,dia3,LDA,0,0,0.004994927657705201,True
CD202,IRR,2017-02-24,dia3,1,B1,CD202_IRR_B1,dia3,dia3,LDA,1,1,0.9013790506815634,True
CD202,IRR,2017-02-24,dia3,2,B2,CD202_IRR_B2,dia3,dia3,LDA,1,1,0.9999977478656163,True
CD202,IRR,2017-02-24,dia3,3,B3,CD202_IRR_B3,dia3,dia3,LDA,1,1,0.9928273475480033,True
CD202,IRR,2017-02-24,dia3,4,B4,CD202_IRR_B4,dia3,dia3,LDA,1,1,0.9999999740938803,True
CD202,NIRR,2017-02-24,dia3,1,B1,CD202_NIRR_B1,dia3,dia3,LDA,0,0,0.08479628152123803,True
CD202,NIRR,2017-02-24,dia3,2,B2,CD202_NIRR_B2,dia3,dia3,LDA,0,0,0.008258474396199578,True
CD202,NIRR,2017-02-24,dia3,3,B3,CD202_NIRR_B3,dia3,dia3,LDA,0,0,1.8154602986218817e-05,True
CD202,NIRR,2017-02-24,dia3,4,B4,CD202_NIRR_B4,dia3,dia3,LDA,0,0,0.00037312127257101954,True
EMB48,IRR,2017-02-24,dia3,1,B1,EMB48_IRR_B1,dia3,dia3,LDA,1,1,0.9999250652371527,True
EMB48,IRR,2017-02-24,dia3,2,B2,EMB48_IRR_B2,dia3,dia3,LDA,1,1,0.9999422434572577,True
EMB48,IRR,2017-02-24,dia3,3,B3,EMB48_IRR_B3,dia3,dia3,LDA,1,1,0.9983392721609545,True
EMB48,IRR,2017-02-24,dia3,4,B4,EMB48_IRR_B4,dia3,dia3,LDA,1,1,0.9988591334065295,True
EMB48,NIRR,2017-02-24,dia3,1,B1,EMB48_NIRR_B1,dia3,dia3,LDA,0,0,6.729394805150246e-06,True
EMB48,NIRR,2017-02-24,dia3,2,B2,EMB48_NIRR_B2,dia3,dia3,LDA,0,0,0.018374992803612673,True
EMB48,NIRR,2017-02-24,dia3,3,B3,EMB48_NIRR_B3,dia3,dia3,LDA,0,0,1.4714384305749358e-06,True
EMB48,NIRR,2017-02-24,dia3,4,B4,EMB48_NIRR_B4,dia3,dia3,LDA,0,0,3.71449832539183e-06,True
