analysis_id,analysis_label,dia,modelo,classe,classe_codigo,precision,recall,f1,support
dia2,dia2,dia2,LDA,Nao irrigado,0,0.7272727272727273,0.6666666666666666,0.6956521739130435,12
dia2,dia2,dia2,LDA,Irrigado,1,0.6923076923076923,0.75,0.72,12
