analysis_id,analysis_label,dia,modelo,classe,classe_codigo,precision,recall,f1,support
dia2,dia2,dia2,SVM (RBF),Nao irrigado,0,0.7,0.5833333333333334,0.6363636363636364,12
dia2,dia2,dia2,SVM (RBF),Irrigado,1,0.6428571428571429,0.75,0.6923076923076923,12
