target,model,classes,n_classes,n_samples,n_groups,cv_splits,n_bandas,bandas,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,experiment_variant,augmentation_method,copies_per_sample,noise_std_fraction,scale_range,offset_std_fraction,clip_to_train_range,analysis_source
condicao_genotipo_turno,Random Forest,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,5,band_400|band_530|band_550|band_401|band_720,0.2986111111111111,0.04743958687944258,0.2986111111111111,0.04743958687944259,0.2723048941798941,0.05335547123613688,0.23484848484848483,0.051752276595755535,,,baseline,none,0,0.0,0.0,0.0,False,gen_cond
condicao_genotipo_turno,SVM (RBF),IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,5,band_400|band_530|band_550|band_401|band_720,0.33333333333333337,0.09622504486493763,0.33333333333333337,0.09622504486493764,0.2785714285714286,0.07803162199007713,0.2727272727272727,0.10497277621629558,,,baseline,none,0,0.0,0.0,0.0,False,gen_cond
condicao_genotipo_turno,LDA,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,5,band_400|band_530|band_550|band_401|band_720,0.3611111111111111,0.11564811108145183,0.3611111111111111,0.11564811108145183,0.32999338624338626,0.11682201526374336,0.30303030303030304,0.1261615757252202,,,baseline,none,0,0.0,0.0,0.0,False,gen_cond
condicao_genotipo_turno,k-NN (k=5),IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,5,band_400|band_530|band_550|band_401|band_720,0.3263888888888889,0.09177883148888431,0.32638888888888884,0.09177883148888426,0.28561507936507935,0.07378845278684354,0.2651515151515152,0.10012236162423742,,,baseline,none,0,0.0,0.0,0.0,False,gen_cond
condicao_genotipo_turno,XGBoost,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,5,band_400|band_530|band_550|band_401|band_720,0.3055555555555556,0.0817755635771097,0.3055555555555556,0.08177556357710968,0.2708829365079365,0.08586008579661485,0.2424242424242424,0.08920970572048333,,,baseline,none,0,0.0,0.0,0.0,False,gen_cond
