group,2017-02-23|BR16|irrigado,2017-02-23|BR16|nao_irrigado,2017-02-23|CD202|irrigado,2017-02-23|CD202|nao_irrigado,2017-02-23|EMB48|irrigado,2017-02-23|EMB48|nao_irrigado,2017-02-24|BR16|irrigado,2017-02-24|BR16|nao_irrigado,2017-02-24|CD202|irrigado,2017-02-24|CD202|nao_irrigado,2017-02-24|EMB48|irrigado,2017-02-24|EMB48|nao_irrigado,2017-02-25|BR16|irrigado,2017-02-25|BR16|nao_irrigado,2017-02-25|CD202|irrigado,2017-02-25|CD202|nao_irrigado,2017-02-25|EMB48|irrigado,2017-02-25|EMB48|nao_irrigado,2017-02-26|BR16|irrigado,2017-02-26|BR16|nao_irrigado,2017-02-26|CD202|irrigado,2017-02-26|CD202|nao_irrigado,2017-02-26|EMB48|irrigado,2017-02-26|EMB48|nao_irrigado,2017-02-27|BR16|irrigado,2017-02-27|BR16|nao_irrigado,2017-02-27|CD202|irrigado,2017-02-27|CD202|nao_irrigado,2017-02-27|EMB48|irrigado,2017-02-27|EMB48|nao_irrigado,2017-03-02|BR16|irrigado,2017-03-02|BR16|nao_irrigado,2017-03-02|CD202|irrigado,2017-03-02|CD202|nao_irrigado,2017-03-02|EMB48|irrigado,2017-03-02|EMB48|nao_irrigado
2017-02-23|BR16|irrigado,0.0,22.57045285772369,36.0540924489292,26.989228404477533,28.11657190746182,43.713968187204124,29.725772068355457,32.49707393763585,60.449585449257185,23.449599619072682,58.8562419206352,57.37134444056233,43.7171865887481,12.701798406725423,94.45905102256054,38.25025667874007,92.4680814510889,43.04190424086434,65.76933746826168,39.78179607014128,89.95537223758791,34.19338936363048,91.29050387230095,69.56089860729867,89.5133691530808,52.086268348486826,85.9115694717623,38.64869156234872,91.00133546388925,63.43031099799633,29.874900473031243,12.017732527185917,48.800506669221456,21.283096025242052,49.80300513375721,20.872273190390004
2017-02-23|BR16|nao_irrigado,22.57045285772369,0.0,55.93195211171153,20.56500080978843,41.83983067760863,33.58728488433665,49.521861895736954,10.819355973353955,79.82135735105543,29.342586810251714,76.00540514083305,43.89917893646784,58.608893540681834,25.17506811975757,113.33718666888362,57.77688217244345,108.4024525303727,60.66003579144108,84.48103907924015,18.861156039242303,107.34849607815556,25.822943376917756,107.33607534265745,53.945357795742304,108.60105978371912,30.575319733410048,104.01276634708778,18.174188192839818,107.6793483452129,44.09346456401587,49.40493557624946,25.665666687774653,68.82602860273217,18.304627937189103,69.45358789683635,38.73975050871539
2017-02-23|CD202|irrigado,36.0540924489292,55.93195211171153,0.0,48.03927887440438,23.811586284746998,59.85872454736348,20.144783799323474,64.09525592138884,26.029251804144696,34.52844118606008,31.665411972134777,74.06208224562761,28.303904238153244,37.728089500947384,61.24188388618139,10.951316898070443,63.70179772684926,13.661842119821012,36.66728104116268,69.84489399750544,58.69326382827261,52.69790554254404,62.70414692867196,88.13544722939017,58.95962342137513,83.02711364012181,54.64682440341582,68.20373241840257,61.00726215318775,88.3098132035733,15.478134285616127,41.00167605609297,20.449819985293743,44.24512178356328,20.987103480520506,22.888463575107355
2017-02-23|CD202|nao_irrigado,26.989228404477533,20.56500080978843,48.03927887440438,0.0,29.440814576351645,19.086220725306102,44.10037617264921,21.83705171952417,69.57560787136855,16.27247110680014,63.73858295458803,31.54912269387729,47.889730529944934,30.555825533751587,101.80185126668098,49.68541239915979,94.5537856347997,50.44339744336986,74.73894413809052,24.70960961891684,94.72276455856603,9.539047365913952,93.56794814499034,43.76597358525604,98.4720868361845,37.08250226246664,92.70147210876752,22.558821879452275,94.7601807403213,43.831263002377185,42.71659519348425,34.537630850627025,62.20527089987045,9.512323177529908,60.577028776494814,35.322497921575284
2017-02-23|EMB48|irrigado,28.11657190746182,41.83983067760863,23.811586284746998,29.440814576351645,0.0,42.39339733914615,20.081377072648216,47.962525510499674,42.653300890800374,20.03242584671873,35.12845529674708,55.22560582041119,26.09238560756299,34.60444317369388,74.29112769003625,25.075349475913427,68.51027428735071,28.017100937208028,47.98992623748112,52.39183580287702,68.34829144665706,34.58873158458409,66.99933810508702,66.99011358238168,70.93201966434789,64.38047775544032,66.3926926943305,50.6139374471517,68.79909690393526,72.05635229211458,18.720060804585856,36.940418040281386,38.580619725348335,28.894969614750767,32.46567807737978,24.93141315718007
2017-02-23|EMB48|nao_irrigado,43.713968187204124,33.58728488433665,59.85872454736348,19.086220725306102,42.39339733914615,0.0,59.40520909274101,30.10188075502351,78.67000884063754,28.67481669127248,73.78312157516268,15.554905270431766,57.04610240403447,44.00440187481459,109.28081863552292,62.20200601477698,100.80200620924384,59.408158685516504,83.97004760347492,28.667785746585988,101.16678035136877,11.979068455924626,100.571639801252,32.65681997596008,107.44731934323255,38.49261492391696,99.85447609248246,26.643888372209524,100.93759263129951,32.57627505322655,56.15908005188679,50.56584902892313,72.47163066872594,24.723446344879918,72.31156139923667,48.84936475617378
2017-02-24|BR16|irrigado,29.725772068355457,49.521861895736954,20.144783799323474,44.10037617264921,20.081377072648216,59.40520909274101,0.0,57.89271089984098,36.74050475183879,35.16319974663138,31.86914970164464,72.75521153269432,25.497439528180216,37.584167563957585,67.72479848577434,22.306026219139625,65.71539551011188,31.042005279761167,39.605235176191215,63.91852084511636,63.70792260930564,50.7764424833298,63.918211078448856,84.12448570123723,61.763666151869934,75.53512234630135,60.06933103045637,62.400974767350284,64.84123629540659,86.64104819451363,9.05046496140738,35.768326178627994,29.035835248195184,41.52653932076428,22.437193441911173,27.35316668009139
2017-02-24|BR16|nao_irrigado,32.49707393763585,10.819355973353955,64.09525592138884,21.83705171952417,47.962525510499674,30.10188075502351,57.89271089984098,0.0,87.49290422296009,33.83722594361624,82.46039636531192,37.11758931593622,65.44260446609582,34.43332545086503,120.5886516915023,65.39589404299997,114.24256208161577,67.54088430404528,92.12085312449572,8.886889976718306,113.96918824096592,24.003278401216168,113.15374604922195,45.52112178210279,116.22404462146027,20.8249369241315,111.21771279999975,8.624033798175908,114.10021124720186,35.49631566246431,57.68944899669557,35.148463631551174,77.34814449041347,21.896788012834502,77.24477261118577,46.632389524836384
2017-02-24|CD202|irrigado,60.449585449257185,79.82135735105543,26.029251804144696,69.57560787136855,42.653300890800374,78.67000884063754,36.74050475183879,87.49290422296009,0.0,57.09000558521919,23.067721785062293,91.8780720196588,31.920859104975197,62.66172864123457,35.578598818607254,30.035584815978627,42.243498527841076,28.332408758703934,17.185881200185587,92.75659274331228,34.143469767652796,73.43794177922372,42.28318101585695,105.56951588013976,35.21152208510279,105.53035904690047,29.901975261057775,90.91168358466675,37.74790160370753,109.19004117344839,32.63885479294944,65.78853564433307,18.657930099983854,67.46133405395176,17.50276955954112,48.298826161332734
2017-02-24|CD202|nao_irrigado,23.449599619072682,29.342586810251714,34.52844118606008,16.27247110680014,20.03242584671873,28.67481669127248,35.16319974663138,33.83722594361624,57.09000558521919,0.0,53.49753997641463,42.13242371082704,41.53087636125116,24.971308361610028,90.50586651908723,35.13832940368322,85.9323786259483,35.199155419981864,64.63831497346803,37.80497057378326,84.78903922405051,19.463313658089163,84.77609074860611,55.92241083378183,88.2215932464733,51.1207342683538,82.51505407702051,36.1196405761621,85.54648401213035,55.77791660405593,32.916997489211866,30.36221924916107,50.69502548341634,12.565749542179361,49.19905121154612,21.766831981293528
2017-02-24|EMB48|irrigado,58.8562419206352,76.00540514083305,31.665411972134777,63.73858295458803,35.12845529674708,73.78312157516268,31.86914970164464,82.46039636531192,23.067721785062293,53.49753997641463,0.0,85.1230743037009,28.53324203700464,64.78376472505788,42.51457217872223,31.779991314178744,36.42538483273663,34.376724168930316,23.365041686903794,86.76621535740811,37.407967716741645,67.87517343680891,33.832099658555244,95.60160799237575,39.49056608275546,98.04944179611735,37.33943541516932,84.98579655906724,38.06067109513236,105.23591518837226,31.454119168761153,65.67820310174466,32.91201053375616,63.508308762374085,16.855631548933466,50.168095504817224
2017-02-24|EMB48|nao_irrigado,57.37134444056233,43.89917893646784,74.06208224562761,31.54912269387729,55.22560582041119,15.554905270431766,72.75521153269432,37.11758931593622,91.8780720196588,42.13242371082704,85.1230743037009,0.0,69.89854474044346,58.09187716571761,120.97756141459693,75.52366436032867,110.54376698903684,72.69437807517878,96.64870700597528,32.406943855521526,112.23031865032462,23.947387992430766,110.18870574110535,19.212594673579847,119.42186093657519,37.274252358720474,111.73890006611101,30.979899660759163,111.61248984699766,27.268336907666946,70.06851160793398,63.413507086338555,86.72182886849191,37.523182397606625,85.30583647690806,62.727614569182556
2017-02-25|BR16|irrigado,43.7171865887481,58.608893540681834,28.303904238153244,47.889730529944934,26.09238560756299,57.04610240403447,25.497439528180216,65.44260446609582,31.920859104975197,41.53087636125116,28.53324203700464,69.89854474044346,0.0,49.36410359977688,58.22414842333902,35.566528109043844,52.213745434093646,35.85830513371072,29.72250137231972,70.14962247953434,50.47443765994948,52.82167665631296,52.63223182440152,82.18845209890779,53.12344623832703,81.43003757020726,47.35849282745847,68.07972831262181,50.26070703494903,86.62123348537311,20.317925554805228,52.68407272990451,27.546462781370046,48.815780864099345,25.25416068603052,42.19293343558524
2017-02-25|BR16|nao_irrigado,12.701798406725423,25.17506811975757,37.728089500947384,30.555825533751587,34.60444317369388,44.00440187481459,37.584167563957585,34.43332545086503,62.66172864123457,24.971308361610028,64.78376472505788,58.09187716571761,49.36410359977688,0.0,97.70054576415176,40.344233727752695,97.77470279459207,42.63182164993275,70.08196494215221,41.591251312702184,93.85207875428387,35.77786431252916,97.03759576463841,72.21437445571674,93.97676176981439,54.74070780506051,89.3954085260603,40.64320774087517,95.37690705460027,61.565334044267104,35.75538785923789,13.775194719400215,50.585433081958435,23.172157247223748,54.800931693333304,19.696988254062834
2017-02-25|CD202|irrigado,94.45905102256054,113.33718666888362,61.24188388618139,101.80185126668098,74.29112769003625,109.28081863552292,67.72479848577434,120.5886516915023,35.578598818607254,90.50586651908723,42.51457217872223,120.97756141459693,58.22414842333902,97.70054576415176,0.0,63.61008277157026,25.27805104758307,62.009960932484965,30.689878344688445,125.31236437859478,13.440158817203827,105.25769169559979,27.274583152902583,133.13040268209468,14.334598324407457,137.3043565558572,13.950209633979922,123.38240407032497,18.6083697305238,140.70578939794575,65.11614696180433,100.07720688204836,49.79947460992732,101.00845028955418,46.15939157759509,83.38216586441423
2017-02-25|CD202|nao_irrigado,38.25025667874007,57.77688217244345,10.951316898070443,49.68541239915979,25.075349475913427,62.20200601477698,22.306026219139625,65.39589404299997,30.035584815978627,35.13832940368322,31.779991314178744,75.52366436032867,35.566528109043844,40.344233727752695,63.61008277157026,0.0,65.8186172753535,12.964873202345336,41.50163030028617,70.78767347449786,61.970622434157285,53.948984727813176,63.91350940546943,88.64056869954581,61.91611229758255,83.77331547288124,58.87490116068982,69.32840120694071,64.44893915655099,90.46447593302551,21.201119556557046,41.94786332062592,28.3589362668908,45.298912065954305,23.4028858173781,22.473353838857918
2017-02-25|EMB48|irrigado,92.4680814510889,108.4024525303727,63.70179772684926,94.5537856347997,68.51027428735071,100.80200620924384,65.71539551011188,114.24256208161577,42.243498527841076,85.9323786259483,36.42538483273663,110.54376698903684,52.213745434093646,97.77470279459207,25.27805104758307,65.8186172753535,0.0,64.76790991863722,33.6658388006447,117.91943634503349,15.726453364643051,97.68420149743316,7.113630678285953,120.22028187024213,26.07075024409902,128.47832326178366,23.5997345224739,115.89008099675887,12.014956939065929,132.6306397269633,63.85701748968492,99.91410920479852,56.141547336799874,95.83535233526163,47.24787524862175,84.36962134083959
2017-02-25|EMB48|nao_irrigado,43.04190424086434,60.66003579144108,13.661842119821012,50.44339744336986,28.017100937208028,59.408158685516504,31.042005279761167,67.54088430404528,28.332408758703934,35.199155419981864,34.376724168930316,72.69437807517878,35.85830513371072,42.63182164993275,62.009960932484965,12.964873202345336,64.76790991863722,0.0,41.79274578304451,72.36137603231339,59.89835840826101,52.999505265470674,63.81371565231405,87.28659628350876,62.45314779115968,85.79908675618479,57.01393725426195,70.73573863890896,62.5212171100264,88.276438139636,26.47725201949777,47.45554513408665,28.284715822400877,46.4694399213074,27.790068167404982,25.779210937514126
2017-02-26|BR16|irrigado,65.76933746826168,84.48103907924015,36.66728104116268,74.73894413809052,47.98992623748112,83.97004760347492,39.605235176191215,92.12085312449572,17.185881200185587,64.63831497346803,23.365041686903794,96.64870700597528,29.72250137231972,70.08196494215221,30.689878344688445,41.50163030028617,33.6658388006447,41.79274578304451,0.0,97.23590567346452,26.47789112777303,79.1437633582587,34.41013195645943,109.09458471821523,24.875896277741017,109.06698499672518,21.13915538483173,95.36191772731833,28.399107624103078,114.27603694550349,36.32954574807493,71.93236763485253,23.918651725147004,73.88074775718933,20.31840181604812,57.86663970900953
2017-02-26|BR16|nao_irrigado,39.78179607014128,18.861156039242303,69.84489399750544,24.70960961891684,52.39183580287702,28.667785746585988,63.91852084511636,8.886889976718306,92.75659274331228,37.80497057378326,86.76621535740811,32.406943855521526,70.14962247953434,41.591251312702184,125.31236437859478,70.78767347449786,117.91943634503349,72.36137603231339,97.23590567346452,0.0,118.29851805645836,24.500825150488694,116.82249414856172,38.66186865506865,121.21361592033726,14.193279976820387,115.95921141833786,3.6213488737280466,118.18074823299229,29.583832806675634,63.59532523488369,42.67801646630249,83.34162091163562,26.587210659415536,82.58897155425362,52.67478257532309
2017-02-26|CD202|irrigado,89.95537223758791,107.34849607815556,58.69326382827261,94.72276455856603,68.34829144665706,101.16678035136877,63.70792260930564,113.96918824096592,34.143469767652796,84.78903922405051,37.407967716741645,112.23031865032462,50.47443765994948,93.85207875428387,13.440158817203827,61.970622434157285,15.726453364643051,59.89835840826101,26.47789112777303,118.29851805645836,0.0,97.92138216372204,19.81421692476198,123.8861198805618,17.184874257100653,129.81945740924033,9.780987414708529,116.26248960096343,8.019135436807064,132.72553755897874,60.635579716717146,96.57424191769935,47.71278893028513,94.88559306728662,43.275140538683154,80.43904831007652
