analysis_id,analysis_label,dia,cultivar,modelo,classe,classe_codigo,precision,recall,f1,support
dia5_CD202,dia5 - CD202,dia5,CD202,k-NN (k=5),Nao irrigado,0,1.0,1.0,1.0,4
dia5_CD202,dia5 - CD202,dia5,CD202,k-NN (k=5),Irrigado,1,1.0,1.0,1.0,4
