analysis_id,analysis_label,dia,cultivar,modelo,classe,classe_codigo,precision,recall,f1,support
dia5_CD202,dia5 - CD202,dia5,CD202,XGBoost,Nao irrigado,0,0.0,0.0,0.0,4
dia5_CD202,dia5 - CD202,dia5,CD202,XGBoost,Irrigado,1,0.5,1.0,0.6666666666666666,4
