analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia5_CD202,dia5 - CD202,dia5,CD202,Random Forest,Nao irrigado,4,0
dia5_CD202,dia5 - CD202,dia5,CD202,Random Forest,Irrigado,0,4
