target,model,accuracy_media_baseline,balanced_accuracy_media_baseline,f1_macro_media_baseline,kappa_media_baseline,roc_auc_media_baseline,accuracy_media_augmentation,balanced_accuracy_media_augmentation,f1_macro_media_augmentation,kappa_media_augmentation,roc_auc_media_augmentation,delta_accuracy_media,delta_balanced_accuracy_media,delta_f1_macro_media,delta_kappa_media,delta_roc_auc_media
condicao,SVM (RBF),0.9305555555555556,0.9305555555555556,0.9304051065660972,0.861111111111111,0.992283950617284,0.9791666666666667,0.9791666666666667,0.9791183045053015,0.9583333333333333,0.9976851851851851,0.04861111111111116,0.04861111111111116,0.048713197939204256,0.09722222222222221,0.005401234567901092
condicao,k-NN (k=5),0.9236111111111112,0.9236111111111112,0.9232934248414124,0.8472222222222222,0.9876543209876543,0.9513888888888888,0.9513888888888888,0.9513405267275237,0.9027777777777778,0.9942129629629629,0.02777777777777768,0.02777777777777768,0.02804710188611126,0.05555555555555558,0.006558641975308643
condicao,XGBoost,0.9444444444444444,0.9444444444444444,0.9444015444015443,0.888888888888889,0.9915123456790123,0.9513888888888888,0.9513888888888888,0.9513620763620764,0.9027777777777778,0.9915123456790124,0.00694444444444442,0.00694444444444442,0.006960531960532035,0.01388888888888884,1.1102230246251565e-16
condicao,LDA,0.9166666666666666,0.9166666666666667,0.9163322917192886,0.8333333333333334,0.9922839506172839,0.9166666666666666,0.9166666666666667,0.9163322917192886,0.8333333333333334,0.9938271604938271,0.0,0.0,0.0,0.0,0.0015432098765432167
condicao,Random Forest,0.9583333333333333,0.9583333333333333,0.9583226083226084,0.9166666666666666,0.9907407407407408,0.9513888888888888,0.9513888888888888,0.9513620763620764,0.9027777777777778,0.9907407407407407,-0.00694444444444442,-0.00694444444444442,-0.006960531960532035,-0.01388888888888884,-1.1102230246251565e-16
condicao_genotipo,Random Forest,0.5138888888888888,0.5138888888888888,0.4861625127395251,0.41666666666666674,,0.5347222222222222,0.5347222222222222,0.50698049227461,0.44166666666666665,,0.02083333333333337,0.02083333333333337,0.020817979535084852,0.02499999999999991,
condicao_genotipo,SVM (RBF),0.5486111111111112,0.548611111111111,0.5053904905007847,0.45833333333333337,,0.5625,0.5625,0.5146880760851349,0.47500000000000003,,0.01388888888888884,0.01388888888888895,0.009297585584350232,0.016666666666666663,
condicao_genotipo,XGBoost,0.5416666666666667,0.5416666666666666,0.5115741896991897,0.45,,0.5347222222222222,0.5347222222222222,0.5087326509346634,0.44166666666666665,,-0.006944444444444531,-0.00694444444444442,-0.002841538764526308,-0.00833333333333336,
condicao_genotipo,LDA,0.5486111111111112,0.5486111111111112,0.5119634751213699,0.45833333333333326,,0.5486111111111112,0.5486111111111112,0.5020441568235686,0.45833333333333326,,0.0,0.0,-0.009919318297801238,0.0,
condicao_genotipo,k-NN (k=5),0.5208333333333333,0.5208333333333333,0.4883209139788086,0.425,,0.4861111111111111,0.4861111111111111,0.46502120564620564,0.38333333333333336,,-0.034722222222222154,-0.034722222222222154,-0.023299708332602975,-0.04166666666666663,
condicao_genotipo_turno,XGBoost,0.3055555555555556,0.3055555555555556,0.2708829365079365,0.2424242424242424,,0.3611111111111111,0.3611111111111111,0.3380456349206349,0.30303030303030304,,0.055555555555555525,0.055555555555555525,0.0671626984126984,0.060606060606060635,
condicao_genotipo_turno,Random Forest,0.2986111111111111,0.2986111111111111,0.2723048941798941,0.23484848484848483,,0.36111111111111116,0.3611111111111111,0.33617724867724863,0.303030303030303,,0.06250000000000006,0.0625,0.06387235449735451,0.06818181818181815,
condicao_genotipo_turno,LDA,0.3611111111111111,0.3611111111111111,0.32999338624338626,0.30303030303030304,,0.39583333333333337,0.39583333333333337,0.35960798460798465,0.34090909090909094,,0.034722222222222265,0.034722222222222265,0.0296145983645984,0.0378787878787879,
condicao_genotipo_turno,SVM (RBF),0.33333333333333337,0.33333333333333337,0.2785714285714286,0.2727272727272727,,0.3402777777777778,0.3402777777777778,0.2965473184223184,0.2803030303030303,,0.00694444444444442,0.00694444444444442,0.017975889850889826,0.007575757575757569,
condicao_genotipo_turno,k-NN (k=5),0.3263888888888889,0.32638888888888884,0.28561507936507935,0.2651515151515152,,0.3194444444444445,0.3194444444444444,0.30095899470899473,0.25757575757575757,,-0.00694444444444442,-0.00694444444444442,0.015343915343915382,-0.0075757575757576245,
