wavelength,kw_h,kw_p,pearson_r,pearson_p,spearman_r,spearman_p
350,nan,nan,nan,nan,nan,nan
351,0.2603365384615586,0.6098890426291241,-0.0005642226893118885,0.9964695183481791,0.06428317048284105,0.6138032246309875
352,0.000180288461535838,0.9892870031230491,-0.030658419051297507,0.8099505444014025,-0.001691662381127396,0.9894151170904028
353,0.33335336538462457,0.5636911449590494,0.00909986756390594,0.9431068018036869,0.07274148238847802,0.5678505005666687
354,0.5257211538461775,0.4684113514128906,0.06335319525405188,0.6189517609758319,0.09134976858087937,0.4728203207921302
355,0.9607572115384642,0.3269961726046568,0.12958292252220843,0.3074713280836556,0.12349135382229988,0.3309573991696964
356,1.8028846153846132,0.17936414979210497,0.2200188872141361,0.08064839519025761,0.1691662381127396,0.18144771862912557
357,1.6271033653846132,0.20210416237849768,0.22789354418331784,0.07012088163431529,0.1607079262071026,0.20458797632258588
358,1.950000000000017,0.1625868507263491,0.21072722569478508,0.0946391700996275,0.17593288763724918,0.16434778631305397
359,1.2122596153846246,0.27088507214450175,0.15518565937012915,0.22078229827508966,0.13871631525244646,0.2743262668827916
360,0.040564903846160405,0.8403801010875744,0.041558633429233285,0.7443810183281974,0.025374935716910938,0.8422388602775723
361,0.6275841346154039,0.42824285631532344,-0.07852503840317408,0.5373847837280734,-0.09980808048651636,0.4326354743069707
362,2.064122596153851,0.15080170117134234,-0.1478032284783006,0.24380213515258597,-0.18100787478063135,0.15232229316691973
363,3.738461538461536,0.05317338271357827,-0.20973277343586186,0.09624251530036859,-0.243599382882345,0.0524143145406542
364,2.6396033653846303,0.10422956284277836,-0.21137404932324955,0.09360756270366864,-0.2046911481164149,0.104699589132304
365,1.0968750000000114,0.2949529354397405,-0.11674267149532808,0.3582626159739527,-0.1319496657279369,0.2986442213296232
366,0.08725961538462457,0.7676903302802214,-0.07430205549535157,0.5595510500471395,-0.037216572384802714,0.7703128775329028
367,0.33335336538462457,0.5636911449590494,-0.07266713321345489,0.5682473346377285,-0.07274148238847802,0.5678505005666687
368,0.03533653846153584,0.8508922083102447,-0.02391620807730875,0.8512015962510582,-0.02368327333578354,0.8526345659984398
369,0.3650841346153868,0.5456961060594315,0.07955303528911892,0.5320547835671936,0.07612480715073282,0.549930593160634
370,0.05210336538462457,0.81944286279492,0.019096097358155366,0.8809449426780482,0.028758260479165732,0.8215294304566215
